id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;13994468;0;atigpu;0;Clock;1;150
0;13994468;0;amdcpu;0;Clock;2;1406.449
0;13994468;0;ram;N/A;Load;0;36.16586
0;13994468;0;amdcpu;0;Clock;3;1406.449
0;13994468;0;amdcpu;0;Load;2;6.25
0;13994468;0;ram;N/A;Data;0;2.880508
0;13994468;0;lpc;it8728f;Voltage;7;3.264
0;13994468;0;lpc;it8728f;Voltage;8;3.264
0;13994468;0;hdd;0;Temperature;0;33
0;13994468;0;amdcpu;0;Load;7;0
0;13994468;0;lpc;it8728f;Control;0;0
0;13994468;0;amdcpu;0;Load;8;1.538461
0;13994468;0;amdcpu;0;Clock;8;1406.449
0;13994468;0;amdcpu;0;Clock;4;1406.449
0;13994468;0;amdcpu;0;Load;3;0
0;13994468;0;amdcpu;0;Clock;5;1406.449
0;13994468;0;amdcpu;0;Load;4;0
0;13994468;0;hdd;0;Load;0;36.18157
0;13994468;0;atigpu;0;Temperature;0;56
0;13994468;0;amdcpu;0;Load;0;0.9735584
0;13994468;0;lpc;it8728f;Control;2;0
0;13994468;0;amdcpu;0;Clock;1;1406.449
0;13994468;0;amdcpu;0;Clock;0;200.9213
0;13994468;0;atigpu;0;Voltage;0;0.95
0;13994468;0;lpc;it8728f;Temperature;2;34
0;13994468;0;lpc;it8728f;Control;1;0
0;13994468;0;lpc;it8728f;Voltage;5;1.224
0;13994468;0;ram;N/A;Data;1;5.084209
0;13994468;0;lpc;it8728f;Voltage;1;1.476
0;13994468;0;lpc;it8728f;Voltage;3;2.004
0;13994468;0;lpc;it8728f;Voltage;2;2.004
0;13994468;0;atigpu;0;Control;0;42
0;13994468;0;atigpu;0;Clock;0;300
0;13994468;0;atigpu;0;Load;0;0
0;13994468;0;amdcpu;0;Load;1;0
0;13994468;0;lpc;it8728f;Temperature;0;34
0;13994468;0;lpc;it8728f;Temperature;1;49
0;13994468;0;lpc;it8728f;Fan;0;5152.672
0;13994468;0;lpc;it8728f;Fan;2;981.1047
0;13994468;0;amdcpu;0;Clock;6;1406.449
0;13994468;0;amdcpu;0;Temperature;0;34.375
0;13994468;0;lpc;it8728f;Voltage;6;2.232
0;13994468;0;amdcpu;0;Load;5;0
0;13994468;0;amdcpu;0;Clock;7;1406.449
0;13994468;0;amdcpu;0;Load;6;0
0;13994468;0;lpc;it8728f;Voltage;0;0.924
0;13994468;0;atigpu;0;Fan;0;1931
0;13994468;0;lpc;it8728f;Voltage;4;1.992
1;1003821223;206;atigpu;0;Clock;1;1250
1;1003821223;206;amdcpu;0;Clock;2;3717.043
1;1003821223;206;ram;N/A;Load;0;36.64787
1;1003821223;206;amdcpu;0;Clock;3;3717.043
1;1003821223;206;amdcpu;0;Load;2;18.75
1;1003821223;206;ram;N/A;Data;0;2.9189
1;1003821223;206;lpc;it8728f;Voltage;7;3.264
1;1003821223;206;lpc;it8728f;Voltage;8;3.264
1;1003821223;206;hdd;0;Temperature;0;33
1;1003821223;206;amdcpu;0;Load;7;0
1;1003821223;206;lpc;it8728f;Control;0;0
1;1003821223;206;amdcpu;0;Load;8;3.125
1;1003821223;206;amdcpu;0;Clock;8;3717.043
1;1003821223;206;amdcpu;0;Clock;4;3717.043
1;1003821223;206;amdcpu;0;Load;3;12.12121
1;1003821223;206;amdcpu;0;Clock;5;3717.043
1;1003821223;206;amdcpu;0;Load;4;4.545456
1;1003821223;206;hdd;0;Load;0;36.18157
1;1003821223;206;atigpu;0;Temperature;0;58
1;1003821223;206;amdcpu;0;Load;0;7.333094
1;1003821223;206;lpc;it8728f;Control;2;0
1;1003821223;206;amdcpu;0;Clock;1;3717.043
1;1003821223;206;amdcpu;0;Clock;0;200.9212
1;1003821223;206;atigpu;0;Voltage;0;1.169
1;1003821223;206;lpc;it8728f;Temperature;2;41
1;1003821223;206;lpc;it8728f;Control;1;0
1;1003821223;206;lpc;it8728f;Voltage;5;1.212
1;1003821223;206;ram;N/A;Data;1;5.045818
1;1003821223;206;lpc;it8728f;Voltage;1;1.476
1;1003821223;206;lpc;it8728f;Voltage;3;2.004
1;1003821223;206;lpc;it8728f;Voltage;2;2.004
1;1003821223;206;atigpu;0;Control;0;40
1;1003821223;206;atigpu;0;Clock;0;940
1;1003821223;206;atigpu;0;Load;0;28
1;1003821223;206;amdcpu;0;Load;1;14.0625
1;1003821223;206;lpc;it8728f;Temperature;0;34
1;1003821223;206;lpc;it8728f;Temperature;1;48
1;1003821223;206;lpc;it8728f;Fan;0;5273.438
1;1003821223;206;lpc;it8728f;Fan;2;982.5328
1;1003821223;206;amdcpu;0;Clock;6;3717.043
1;1003821223;206;amdcpu;0;Temperature;0;41.25
1;1003821223;206;lpc;it8728f;Voltage;6;2.232
1;1003821223;206;amdcpu;0;Load;5;4.545456
1;1003821223;206;amdcpu;0;Clock;7;3717.043
1;1003821223;206;amdcpu;0;Load;6;1.51515
1;1003821223;206;lpc;it8728f;Voltage;0;0.924
1;1003821223;206;atigpu;0;Fan;0;1824
1;1003821223;206;lpc;it8728f;Voltage;4;1.992
2;2004068183;225;atigpu;0;Clock;1;1250
2;2004068183;225;amdcpu;0;Clock;2;3717.047
2;2004068183;225;ram;N/A;Load;0;36.57957
2;2004068183;225;amdcpu;0;Clock;3;4018.429
2;2004068183;225;amdcpu;0;Load;2;25
2;2004068183;225;ram;N/A;Data;0;2.91346
2;2004068183;225;lpc;it8728f;Voltage;7;3.264
2;2004068183;225;lpc;it8728f;Voltage;8;3.264
2;2004068183;225;hdd;0;Temperature;0;33
2;2004068183;225;amdcpu;0;Load;7;46.9697
2;2004068183;225;lpc;it8728f;Control;0;0
2;2004068183;225;amdcpu;0;Load;8;32.30769
2;2004068183;225;amdcpu;0;Clock;8;3717.047
2;2004068183;225;amdcpu;0;Clock;4;3717.047
2;2004068183;225;amdcpu;0;Load;3;64.0625
2;2004068183;225;amdcpu;0;Clock;5;1406.45
2;2004068183;225;amdcpu;0;Load;4;25
2;2004068183;225;hdd;0;Load;0;36.18157
2;2004068183;225;atigpu;0;Temperature;0;59
2;2004068183;225;amdcpu;0;Load;0;37.25342
2;2004068183;225;lpc;it8728f;Control;2;0
2;2004068183;225;amdcpu;0;Clock;1;3717.047
2;2004068183;225;amdcpu;0;Clock;0;200.9215
2;2004068183;225;atigpu;0;Voltage;0;1.169
2;2004068183;225;lpc;it8728f;Temperature;2;40
2;2004068183;225;lpc;it8728f;Control;1;0
2;2004068183;225;lpc;it8728f;Voltage;5;1.236
2;2004068183;225;ram;N/A;Data;1;5.051258
2;2004068183;225;lpc;it8728f;Voltage;1;1.452
2;2004068183;225;lpc;it8728f;Voltage;3;2.004
2;2004068183;225;lpc;it8728f;Voltage;2;1.944
2;2004068183;225;atigpu;0;Control;0;41
2;2004068183;225;atigpu;0;Clock;0;940
2;2004068183;225;atigpu;0;Load;0;28
2;2004068183;225;amdcpu;0;Load;1;31.25
2;2004068183;225;lpc;it8728f;Temperature;0;34
2;2004068183;225;lpc;it8728f;Temperature;1;52
2;2004068183;225;lpc;it8728f;Fan;0;5357.143
2;2004068183;225;lpc;it8728f;Fan;2;969.8276
2;2004068183;225;amdcpu;0;Clock;6;3717.047
2;2004068183;225;amdcpu;0;Temperature;0;40.625
2;2004068183;225;lpc;it8728f;Voltage;6;2.232
2;2004068183;225;amdcpu;0;Load;5;43.75
2;2004068183;225;amdcpu;0;Clock;7;1406.45
2;2004068183;225;amdcpu;0;Load;6;29.6875
2;2004068183;225;lpc;it8728f;Voltage;0;1.38
2;2004068183;225;atigpu;0;Fan;0;1812
2;2004068183;225;lpc;it8728f;Voltage;4;1.956
3;3001476241;224;atigpu;0;Clock;1;1250
3;3001476241;224;amdcpu;0;Clock;2;3717.043
3;3001476241;224;ram;N/A;Load;0;36.57996
3;3001476241;224;amdcpu;0;Clock;3;3717.043
3;3001476241;224;amdcpu;0;Load;2;21.875
3;3001476241;224;ram;N/A;Data;0;2.91349
3;3001476241;224;lpc;it8728f;Voltage;7;3.264
3;3001476241;224;lpc;it8728f;Voltage;8;3.264
3;3001476241;224;hdd;0;Temperature;0;33
3;3001476241;224;amdcpu;0;Load;7;26.5625
3;3001476241;224;lpc;it8728f;Control;0;0
3;3001476241;224;amdcpu;0;Load;8;21.875
3;3001476241;224;amdcpu;0;Clock;8;1406.449
3;3001476241;224;amdcpu;0;Clock;4;3717.043
3;3001476241;224;amdcpu;0;Load;3;59.375
3;3001476241;224;amdcpu;0;Clock;5;3717.043
3;3001476241;224;amdcpu;0;Load;4;23.4375
3;3001476241;224;hdd;0;Load;0;36.18157
3;3001476241;224;atigpu;0;Temperature;0;59
3;3001476241;224;amdcpu;0;Load;0;30.66406
3;3001476241;224;lpc;it8728f;Control;2;0
3;3001476241;224;amdcpu;0;Clock;1;3717.043
3;3001476241;224;amdcpu;0;Clock;0;200.9212
3;3001476241;224;atigpu;0;Voltage;0;1.169
3;3001476241;224;lpc;it8728f;Temperature;2;41
3;3001476241;224;lpc;it8728f;Control;1;0
3;3001476241;224;lpc;it8728f;Voltage;5;1.236
3;3001476241;224;ram;N/A;Data;1;5.051228
3;3001476241;224;lpc;it8728f;Voltage;1;1.464
3;3001476241;224;lpc;it8728f;Voltage;3;2.004
3;3001476241;224;lpc;it8728f;Voltage;2;1.944
3;3001476241;224;atigpu;0;Control;0;41
3;3001476241;224;atigpu;0;Clock;0;940
3;3001476241;224;atigpu;0;Load;0;28
3;3001476241;224;amdcpu;0;Load;1;31.25
3;3001476241;224;lpc;it8728f;Temperature;0;34
3;3001476241;224;lpc;it8728f;Temperature;1;52
3;3001476241;224;lpc;it8728f;Fan;0;5532.787
3;3001476241;224;lpc;it8728f;Fan;2;967.0487
3;3001476241;224;amdcpu;0;Clock;6;3717.043
3;3001476241;224;amdcpu;0;Temperature;0;41
3;3001476241;224;lpc;it8728f;Voltage;6;2.22
3;3001476241;224;amdcpu;0;Load;5;40.625
3;3001476241;224;amdcpu;0;Clock;7;3717.043
3;3001476241;224;amdcpu;0;Load;6;20.3125
3;3001476241;224;lpc;it8728f;Voltage;0;1.392
3;3001476241;224;atigpu;0;Fan;0;1813
3;3001476241;224;lpc;it8728f;Voltage;4;1.956
4;4001850472;225;atigpu;0;Clock;1;1250
4;4001850472;225;amdcpu;0;Clock;2;3717.043
4;4001850472;225;ram;N/A;Load;0;36.57962
4;4001850472;225;amdcpu;0;Clock;3;3717.043
4;4001850472;225;amdcpu;0;Load;2;28.125
4;4001850472;225;ram;N/A;Data;0;2.913464
4;4001850472;225;lpc;it8728f;Voltage;7;3.264
4;4001850472;225;lpc;it8728f;Voltage;8;3.264
4;4001850472;225;hdd;0;Temperature;0;33
4;4001850472;225;amdcpu;0;Load;7;34.375
4;4001850472;225;lpc;it8728f;Control;0;0
4;4001850472;225;amdcpu;0;Load;8;26.5625
4;4001850472;225;amdcpu;0;Clock;8;3717.043
4;4001850472;225;amdcpu;0;Clock;4;3717.043
4;4001850472;225;amdcpu;0;Load;3;78.125
4;4001850472;225;amdcpu;0;Clock;5;3717.043
4;4001850472;225;amdcpu;0;Load;4;26.5625
4;4001850472;225;hdd;0;Load;0;36.18157
4;4001850472;225;atigpu;0;Temperature;0;59
4;4001850472;225;amdcpu;0;Load;0;35.15625
4;4001850472;225;lpc;it8728f;Control;2;0
4;4001850472;225;amdcpu;0;Clock;1;3717.043
4;4001850472;225;amdcpu;0;Clock;0;200.9213
4;4001850472;225;atigpu;0;Voltage;0;1.169
4;4001850472;225;lpc;it8728f;Temperature;2;41
4;4001850472;225;lpc;it8728f;Control;1;0
4;4001850472;225;lpc;it8728f;Voltage;5;1.248
4;4001850472;225;ram;N/A;Data;1;5.051254
4;4001850472;225;lpc;it8728f;Voltage;1;1.452
4;4001850472;225;lpc;it8728f;Voltage;3;2.004
4;4001850472;225;lpc;it8728f;Voltage;2;1.944
4;4001850472;225;atigpu;0;Control;0;41
4;4001850472;225;atigpu;0;Clock;0;940
4;4001850472;225;atigpu;0;Load;0;28
4;4001850472;225;amdcpu;0;Load;1;32.8125
4;4001850472;225;lpc;it8728f;Temperature;0;34
4;4001850472;225;lpc;it8728f;Temperature;1;51
4;4001850472;225;lpc;it8728f;Fan;0;5578.512
4;4001850472;225;lpc;it8728f;Fan;2;965.6652
4;4001850472;225;amdcpu;0;Clock;6;1406.449
4;4001850472;225;amdcpu;0;Temperature;0;41.375
4;4001850472;225;lpc;it8728f;Voltage;6;2.232
4;4001850472;225;amdcpu;0;Load;5;31.25
4;4001850472;225;amdcpu;0;Clock;7;3717.043
4;4001850472;225;amdcpu;0;Load;6;23.4375
4;4001850472;225;lpc;it8728f;Voltage;0;1.404
4;4001850472;225;atigpu;0;Fan;0;1816
4;4001850472;225;lpc;it8728f;Voltage;4;1.956
5;5003475245;226;atigpu;0;Clock;1;1250
5;5003475245;226;amdcpu;0;Clock;2;3717.044
5;5003475245;226;ram;N/A;Load;0;36.59705
5;5003475245;226;amdcpu;0;Clock;3;3717.044
5;5003475245;226;amdcpu;0;Load;2;28.125
5;5003475245;226;ram;N/A;Data;0;2.914852
5;5003475245;226;lpc;it8728f;Voltage;7;3.264
5;5003475245;226;lpc;it8728f;Voltage;8;3.264
5;5003475245;226;hdd;0;Temperature;0;33
5;5003475245;226;amdcpu;0;Load;7;25
5;5003475245;226;lpc;it8728f;Control;0;0
5;5003475245;226;amdcpu;0;Load;8;25
5;5003475245;226;amdcpu;0;Clock;8;1406.449
5;5003475245;226;amdcpu;0;Clock;4;3717.044
5;5003475245;226;amdcpu;0;Load;3;70.3125
5;5003475245;226;amdcpu;0;Clock;5;3717.044
5;5003475245;226;amdcpu;0;Load;4;25
5;5003475245;226;hdd;0;Load;0;36.18157
5;5003475245;226;atigpu;0;Temperature;0;59
5;5003475245;226;amdcpu;0;Load;0;34.96094
5;5003475245;226;lpc;it8728f;Control;2;0
5;5003475245;226;amdcpu;0;Clock;1;4018.426
5;5003475245;226;amdcpu;0;Clock;0;200.9213
5;5003475245;226;atigpu;0;Voltage;0;1.169
5;5003475245;226;lpc;it8728f;Temperature;2;41
5;5003475245;226;lpc;it8728f;Control;1;0
5;5003475245;226;lpc;it8728f;Voltage;5;1.248
5;5003475245;226;ram;N/A;Data;1;5.049866
5;5003475245;226;lpc;it8728f;Voltage;1;1.452
5;5003475245;226;lpc;it8728f;Voltage;3;2.004
5;5003475245;226;lpc;it8728f;Voltage;2;1.944
5;5003475245;226;atigpu;0;Control;0;41
5;5003475245;226;atigpu;0;Clock;0;940
5;5003475245;226;atigpu;0;Load;0;28
5;5003475245;226;amdcpu;0;Load;1;31.25
5;5003475245;226;lpc;it8728f;Temperature;0;34
5;5003475245;226;lpc;it8728f;Temperature;1;52
5;5003475245;226;lpc;it8728f;Fan;0;5578.512
5;5003475245;226;lpc;it8728f;Fan;2;962.9102
5;5003475245;226;amdcpu;0;Clock;6;3717.044
5;5003475245;226;amdcpu;0;Temperature;0;41.875
5;5003475245;226;lpc;it8728f;Voltage;6;2.22
5;5003475245;226;amdcpu;0;Load;5;48.4375
5;5003475245;226;amdcpu;0;Clock;7;3717.044
5;5003475245;226;amdcpu;0;Load;6;26.5625
5;5003475245;226;lpc;it8728f;Voltage;0;1.404
5;5003475245;226;atigpu;0;Fan;0;1818
5;5003475245;226;lpc;it8728f;Voltage;4;1.956
6;6003737645;226;atigpu;0;Clock;1;1250
6;6003737645;226;amdcpu;0;Clock;2;3717.045
6;6003737645;226;ram;N/A;Load;0;36.69333
6;6003737645;226;amdcpu;0;Clock;3;3717.045
6;6003737645;226;amdcpu;0;Load;2;23.80952
6;6003737645;226;ram;N/A;Data;0;2.92252
6;6003737645;226;lpc;it8728f;Voltage;7;3.264
6;6003737645;226;lpc;it8728f;Voltage;8;3.264
6;6003737645;226;hdd;0;Temperature;0;33
6;6003737645;226;amdcpu;0;Load;7;26.5625
6;6003737645;226;lpc;it8728f;Control;0;0
6;6003737645;226;amdcpu;0;Load;8;26.5625
6;6003737645;226;amdcpu;0;Clock;8;1406.449
6;6003737645;226;amdcpu;0;Clock;4;3717.045
6;6003737645;226;amdcpu;0;Load;3;76.5625
6;6003737645;226;amdcpu;0;Clock;5;1406.449
6;6003737645;226;amdcpu;0;Load;4;25.39682
6;6003737645;226;hdd;0;Load;0;36.18157
6;6003737645;226;atigpu;0;Temperature;0;59
6;6003737645;226;amdcpu;0;Load;0;33.14732
6;6003737645;226;lpc;it8728f;Control;2;0
6;6003737645;226;amdcpu;0;Clock;1;3717.045
6;6003737645;226;amdcpu;0;Clock;0;200.9214
6;6003737645;226;atigpu;0;Voltage;0;1.169
6;6003737645;226;lpc;it8728f;Temperature;2;42
6;6003737645;226;lpc;it8728f;Control;1;0
6;6003737645;226;lpc;it8728f;Voltage;5;1.236
6;6003737645;226;ram;N/A;Data;1;5.042198
6;6003737645;226;lpc;it8728f;Voltage;1;1.452
6;6003737645;226;lpc;it8728f;Voltage;3;2.004
6;6003737645;226;lpc;it8728f;Voltage;2;1.944
6;6003737645;226;atigpu;0;Control;0;41
6;6003737645;226;atigpu;0;Clock;0;940
6;6003737645;226;atigpu;0;Load;0;28
6;6003737645;226;amdcpu;0;Load;1;29.6875
6;6003737645;226;lpc;it8728f;Temperature;0;34
6;6003737645;226;lpc;it8728f;Temperature;1;52
6;6003737645;226;lpc;it8728f;Fan;0;5578.512
6;6003737645;226;lpc;it8728f;Fan;2;962.9102
6;6003737645;226;amdcpu;0;Clock;6;3717.045
6;6003737645;226;amdcpu;0;Temperature;0;42.125
6;6003737645;226;lpc;it8728f;Voltage;6;2.232
6;6003737645;226;amdcpu;0;Load;5;34.375
6;6003737645;226;amdcpu;0;Clock;7;3717.045
6;6003737645;226;amdcpu;0;Load;6;22.22222
6;6003737645;226;lpc;it8728f;Voltage;0;1.38
6;6003737645;226;atigpu;0;Fan;0;1818
6;6003737645;226;lpc;it8728f;Voltage;4;1.956
7;7002866573;225;atigpu;0;Clock;1;1250
7;7002866573;225;amdcpu;0;Clock;2;3717.046
7;7002866573;225;ram;N/A;Load;0;36.75607
7;7002866573;225;amdcpu;0;Clock;3;3717.046
7;7002866573;225;amdcpu;0;Load;2;20.3125
7;7002866573;225;ram;N/A;Data;0;2.927517
7;7002866573;225;lpc;it8728f;Voltage;7;3.264
7;7002866573;225;lpc;it8728f;Voltage;8;3.264
7;7002866573;225;hdd;0;Temperature;0;33
7;7002866573;225;amdcpu;0;Load;7;25
7;7002866573;225;lpc;it8728f;Control;0;0
7;7002866573;225;amdcpu;0;Load;8;20.63492
7;7002866573;225;amdcpu;0;Clock;8;3717.046
7;7002866573;225;amdcpu;0;Clock;4;3717.046
7;7002866573;225;amdcpu;0;Load;3;76.5625
7;7002866573;225;amdcpu;0;Clock;5;3717.046
7;7002866573;225;amdcpu;0;Load;4;20
7;7002866573;225;hdd;0;Load;0;36.18157
7;7002866573;225;atigpu;0;Temperature;0;60
7;7002866573;225;amdcpu;0;Load;0;31.25124
7;7002866573;225;lpc;it8728f;Control;2;0
7;7002866573;225;amdcpu;0;Clock;1;3717.046
7;7002866573;225;amdcpu;0;Clock;0;200.9214
7;7002866573;225;atigpu;0;Voltage;0;1.169
7;7002866573;225;lpc;it8728f;Temperature;2;42
7;7002866573;225;lpc;it8728f;Control;1;0
7;7002866573;225;lpc;it8728f;Voltage;5;1.236
7;7002866573;225;ram;N/A;Data;1;5.037201
7;7002866573;225;lpc;it8728f;Voltage;1;1.452
7;7002866573;225;lpc;it8728f;Voltage;3;2.004
7;7002866573;225;lpc;it8728f;Voltage;2;1.944
7;7002866573;225;atigpu;0;Control;0;41
7;7002866573;225;atigpu;0;Clock;0;940
7;7002866573;225;atigpu;0;Load;0;49
7;7002866573;225;amdcpu;0;Load;1;29.6875
7;7002866573;225;lpc;it8728f;Temperature;0;34
7;7002866573;225;lpc;it8728f;Temperature;1;52
7;7002866573;225;lpc;it8728f;Fan;0;5672.269
7;7002866573;225;lpc;it8728f;Fan;2;964.2857
7;7002866573;225;amdcpu;0;Clock;6;3717.046
7;7002866573;225;amdcpu;0;Temperature;0;42.75
7;7002866573;225;lpc;it8728f;Voltage;6;2.22
7;7002866573;225;amdcpu;0;Load;5;39.0625
7;7002866573;225;amdcpu;0;Clock;7;3717.046
7;7002866573;225;amdcpu;0;Load;6;18.75
7;7002866573;225;lpc;it8728f;Voltage;0;1.392
7;7002866573;225;atigpu;0;Fan;0;1840
7;7002866573;225;lpc;it8728f;Voltage;4;1.956
8;8005042641;224;atigpu;0;Clock;1;1250
8;8005042641;224;amdcpu;0;Clock;2;3717.043
8;8005042641;224;ram;N/A;Load;0;36.86526
