id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;14009612;0;atigpu;0;Clock;1;150
0;14009612;0;amdcpu;0;Clock;2;1406.449
0;14009612;0;ram;N/A;Load;0;36.33042
0;14009612;0;amdcpu;0;Clock;3;1406.449
0;14009612;0;amdcpu;0;Load;2;0
0;14009612;0;ram;N/A;Data;0;2.893616
0;14009612;0;lpc;it8728f;Voltage;7;3.264
0;14009612;0;lpc;it8728f;Voltage;8;3.264
0;14009612;0;hdd;0;Temperature;0;34
0;14009612;0;amdcpu;0;Load;7;0
0;14009612;0;lpc;it8728f;Control;0;0
0;14009612;0;amdcpu;0;Load;8;3.174603
0;14009612;0;amdcpu;0;Clock;8;1406.449
0;14009612;0;amdcpu;0;Clock;4;1406.449
0;14009612;0;amdcpu;0;Load;3;0
0;14009612;0;amdcpu;0;Clock;5;1406.449
0;14009612;0;amdcpu;0;Load;4;0
0;14009612;0;hdd;0;Load;0;36.18314
0;14009612;0;atigpu;0;Temperature;0;60
0;14009612;0;amdcpu;0;Load;0;0.3968239
0;14009612;0;lpc;it8728f;Control;2;0
0;14009612;0;amdcpu;0;Clock;1;1406.449
0;14009612;0;amdcpu;0;Clock;0;200.9213
0;14009612;0;atigpu;0;Voltage;0;0.95
0;14009612;0;lpc;it8728f;Temperature;2;22
0;14009612;0;lpc;it8728f;Control;1;0
0;14009612;0;lpc;it8728f;Voltage;5;1.212
0;14009612;0;ram;N/A;Data;1;5.071102
0;14009612;0;lpc;it8728f;Voltage;1;1.452
0;14009612;0;lpc;it8728f;Voltage;3;1.992
0;14009612;0;lpc;it8728f;Voltage;2;2.016
0;14009612;0;atigpu;0;Control;0;41
0;14009612;0;atigpu;0;Clock;0;300
0;14009612;0;atigpu;0;Load;0;0
0;14009612;0;amdcpu;0;Load;1;0
0;14009612;0;lpc;it8728f;Temperature;0;34
0;14009612;0;lpc;it8728f;Temperature;1;43
0;14009612;0;lpc;it8728f;Fan;0;4326.923
0;14009612;0;lpc;it8728f;Fan;2;974.026
0;14009612;0;amdcpu;0;Clock;6;1406.449
0;14009612;0;amdcpu;0;Temperature;0;22.625
0;14009612;0;lpc;it8728f;Voltage;6;2.232
0;14009612;0;amdcpu;0;Load;5;0
0;14009612;0;amdcpu;0;Clock;7;1406.449
0;14009612;0;amdcpu;0;Load;6;0
0;14009612;0;lpc;it8728f;Voltage;0;0.924
0;14009612;0;atigpu;0;Fan;0;1934
0;14009612;0;lpc;it8728f;Voltage;4;1.98
1;1135113756;4;atigpu;0;Clock;1;1250
1;1135113756;4;amdcpu;0;Clock;2;4018.426
1;1135113756;4;ram;N/A;Load;0;36.76569
1;1135113756;4;amdcpu;0;Clock;3;3717.044
1;1135113756;4;amdcpu;0;Load;2;3.125
1;1135113756;4;ram;N/A;Data;0;2.928284
1;1135113756;4;lpc;it8728f;Voltage;7;3.264
1;1135113756;4;lpc;it8728f;Voltage;8;3.264
1;1135113756;4;hdd;0;Temperature;0;34
1;1135113756;4;amdcpu;0;Load;7;0
1;1135113756;4;lpc;it8728f;Control;0;0
1;1135113756;4;amdcpu;0;Load;8;3.125
1;1135113756;4;amdcpu;0;Clock;8;1406.449
1;1135113756;4;amdcpu;0;Clock;4;3717.044
1;1135113756;4;amdcpu;0;Load;3;19.69697
1;1135113756;4;amdcpu;0;Clock;5;3717.044
1;1135113756;4;amdcpu;0;Load;4;1.51515
1;1135113756;4;hdd;0;Load;0;36.18314
1;1135113756;4;atigpu;0;Temperature;0;61
1;1135113756;4;amdcpu;0;Load;0;4.604638
1;1135113756;4;lpc;it8728f;Control;2;0
1;1135113756;4;amdcpu;0;Clock;1;4018.426
1;1135113756;4;amdcpu;0;Clock;0;200.9213
1;1135113756;4;atigpu;0;Voltage;0;1.169
1;1135113756;4;lpc;it8728f;Temperature;2;32
1;1135113756;4;lpc;it8728f;Control;1;0
1;1135113756;4;lpc;it8728f;Voltage;5;1.224
1;1135113756;4;ram;N/A;Data;1;5.036434
1;1135113756;4;lpc;it8728f;Voltage;1;1.476
1;1135113756;4;lpc;it8728f;Voltage;3;2.004
1;1135113756;4;lpc;it8728f;Voltage;2;2.016
1;1135113756;4;atigpu;0;Control;0;42
1;1135113756;4;atigpu;0;Clock;0;940
1;1135113756;4;atigpu;0;Load;0;64
1;1135113756;4;amdcpu;0;Load;1;9.375
1;1135113756;4;lpc;it8728f;Temperature;0;34
1;1135113756;4;lpc;it8728f;Temperature;1;43
1;1135113756;4;lpc;it8728f;Fan;0;4299.363
1;1135113756;4;lpc;it8728f;Fan;2;972.6225
1;1135113756;4;amdcpu;0;Clock;6;3717.044
1;1135113756;4;amdcpu;0;Temperature;0;32.625
1;1135113756;4;lpc;it8728f;Voltage;6;2.232
1;1135113756;4;amdcpu;0;Load;5;0
1;1135113756;4;amdcpu;0;Clock;7;3717.044
1;1135113756;4;amdcpu;0;Load;6;0
1;1135113756;4;lpc;it8728f;Voltage;0;0.924
1;1135113756;4;atigpu;0;Fan;0;1892
1;1135113756;4;lpc;it8728f;Voltage;4;1.98
2;2222829274;4;atigpu;0;Clock;1;1250
2;2222829274;4;amdcpu;0;Clock;2;4018.428
2;2222829274;4;ram;N/A;Load;0;36.77834
2;2222829274;4;amdcpu;0;Clock;3;4018.428
2;2222829274;4;amdcpu;0;Load;2;28.125
2;2222829274;4;ram;N/A;Data;0;2.929291
2;2222829274;4;lpc;it8728f;Voltage;7;3.264
2;2222829274;4;lpc;it8728f;Voltage;8;3.264
2;2222829274;4;hdd;0;Temperature;0;34
2;2222829274;4;amdcpu;0;Load;7;0
2;2222829274;4;lpc;it8728f;Control;0;0
2;2222829274;4;amdcpu;0;Load;8;0
2;2222829274;4;amdcpu;0;Clock;8;4018.428
2;2222829274;4;amdcpu;0;Clock;4;4018.428
2;2222829274;4;amdcpu;0;Load;3;4.838711
2;2222829274;4;amdcpu;0;Clock;5;4018.428
2;2222829274;4;amdcpu;0;Load;4;4.761905
2;2222829274;4;hdd;0;Load;0;36.18314
2;2222829274;4;atigpu;0;Temperature;0;63
2;2222829274;4;amdcpu;0;Load;0;12.73612
2;2222829274;4;lpc;it8728f;Control;2;0
2;2222829274;4;amdcpu;0;Clock;1;4018.428
2;2222829274;4;amdcpu;0;Clock;0;200.9214
2;2222829274;4;atigpu;0;Voltage;0;1.169
2;2222829274;4;lpc;it8728f;Temperature;2;34
2;2222829274;4;lpc;it8728f;Control;1;0
2;2222829274;4;lpc;it8728f;Voltage;5;1.224
2;2222829274;4;ram;N/A;Data;1;5.035427
2;2222829274;4;lpc;it8728f;Voltage;1;1.452
2;2222829274;4;lpc;it8728f;Voltage;3;2.004
2;2222829274;4;lpc;it8728f;Voltage;2;1.944
2;2222829274;4;atigpu;0;Control;0;43
2;2222829274;4;atigpu;0;Clock;0;940
2;2222829274;4;atigpu;0;Load;0;64
2;2222829274;4;amdcpu;0;Load;1;60.9375
2;2222829274;4;lpc;it8728f;Temperature;0;34
2;2222829274;4;lpc;it8728f;Temperature;1;43
2;2222829274;4;lpc;it8728f;Fan;0;4687.5
2;2222829274;4;lpc;it8728f;Fan;2;961.5385
2;2222829274;4;amdcpu;0;Clock;6;4018.428
2;2222829274;4;amdcpu;0;Temperature;0;35.125
2;2222829274;4;lpc;it8728f;Voltage;6;2.232
2;2222829274;4;amdcpu;0;Load;5;0
2;2222829274;4;amdcpu;0;Clock;7;4018.428
2;2222829274;4;amdcpu;0;Load;6;3.225809
2;2222829274;4;lpc;it8728f;Voltage;0;1.416
2;2222829274;4;atigpu;0;Fan;0;1912
2;2222829274;4;lpc;it8728f;Voltage;4;1.956
3;3041368617;3;atigpu;0;Clock;1;1250
3;3041368617;3;amdcpu;0;Clock;2;4018.426
3;3041368617;3;ram;N/A;Load;0;36.77877
3;3041368617;3;amdcpu;0;Clock;3;4018.426
3;3041368617;3;amdcpu;0;Load;2;42.1875
3;3041368617;3;ram;N/A;Data;0;2.929325
3;3041368617;3;lpc;it8728f;Voltage;7;3.264
3;3041368617;3;lpc;it8728f;Voltage;8;3.264
3;3041368617;3;hdd;0;Temperature;0;34
3;3041368617;3;amdcpu;0;Load;7;0
3;3041368617;3;lpc;it8728f;Control;0;0
3;3041368617;3;amdcpu;0;Load;8;1.5625
3;3041368617;3;amdcpu;0;Clock;8;4018.426
3;3041368617;3;amdcpu;0;Clock;4;4018.426
3;3041368617;3;amdcpu;0;Load;3;0
3;3041368617;3;amdcpu;0;Clock;5;4018.426
3;3041368617;3;amdcpu;0;Load;4;0
3;3041368617;3;hdd;0;Load;0;36.18314
3;3041368617;3;atigpu;0;Temperature;0;63
3;3041368617;3;amdcpu;0;Load;0;12.89063
3;3041368617;3;lpc;it8728f;Control;2;0
3;3041368617;3;amdcpu;0;Clock;1;4018.426
3;3041368617;3;amdcpu;0;Clock;0;200.9213
3;3041368617;3;atigpu;0;Voltage;0;1.169
3;3041368617;3;lpc;it8728f;Temperature;2;36
3;3041368617;3;lpc;it8728f;Control;1;0
3;3041368617;3;lpc;it8728f;Voltage;5;1.236
3;3041368617;3;ram;N/A;Data;1;5.035393
3;3041368617;3;lpc;it8728f;Voltage;1;1.452
3;3041368617;3;lpc;it8728f;Voltage;3;2.004
3;3041368617;3;lpc;it8728f;Voltage;2;1.932
3;3041368617;3;atigpu;0;Control;0;44
3;3041368617;3;atigpu;0;Clock;0;940
3;3041368617;3;atigpu;0;Load;0;64
3;3041368617;3;amdcpu;0;Load;1;59.375
3;3041368617;3;lpc;it8728f;Temperature;0;34
3;3041368617;3;lpc;it8728f;Temperature;1;44
3;3041368617;3;lpc;it8728f;Fan;0;4963.235
3;3041368617;3;lpc;it8728f;Fan;2;958.8068
3;3041368617;3;amdcpu;0;Clock;6;4018.426
3;3041368617;3;amdcpu;0;Temperature;0;36
3;3041368617;3;lpc;it8728f;Voltage;6;2.232
3;3041368617;3;amdcpu;0;Load;5;0
3;3041368617;3;amdcpu;0;Clock;7;4018.426
3;3041368617;3;amdcpu;0;Load;6;0
3;3041368617;3;lpc;it8728f;Voltage;0;1.404
3;3041368617;3;atigpu;0;Fan;0;1963
3;3041368617;3;lpc;it8728f;Voltage;4;1.956
4;4130579599;4;atigpu;0;Clock;1;1250
4;4130579599;4;amdcpu;0;Clock;2;4018.427
4;4130579599;4;ram;N/A;Load;0;36.77729
4;4130579599;4;amdcpu;0;Clock;3;4018.427
4;4130579599;4;amdcpu;0;Load;2;35.9375
4;4130579599;4;ram;N/A;Data;0;2.929207
4;4130579599;4;lpc;it8728f;Voltage;7;3.264
4;4130579599;4;lpc;it8728f;Voltage;8;3.264
4;4130579599;4;hdd;0;Temperature;0;34
4;4130579599;4;amdcpu;0;Load;7;0
4;4130579599;4;lpc;it8728f;Control;0;0
4;4130579599;4;amdcpu;0;Load;8;0
4;4130579599;4;amdcpu;0;Clock;8;4018.427
4;4130579599;4;amdcpu;0;Clock;4;4018.427
4;4130579599;4;amdcpu;0;Load;3;0
4;4130579599;4;amdcpu;0;Clock;5;4018.427
4;4130579599;4;amdcpu;0;Load;4;0
4;4130579599;4;hdd;0;Load;0;36.18314
4;4130579599;4;atigpu;0;Temperature;0;63
4;4130579599;4;amdcpu;0;Load;0;12.69531
4;4130579599;4;lpc;it8728f;Control;2;0
4;4130579599;4;amdcpu;0;Clock;1;4018.427
4;4130579599;4;amdcpu;0;Clock;0;200.9213
4;4130579599;4;atigpu;0;Voltage;0;1.169
4;4130579599;4;lpc;it8728f;Temperature;2;36
4;4130579599;4;lpc;it8728f;Control;1;0
4;4130579599;4;lpc;it8728f;Voltage;5;1.224
4;4130579599;4;ram;N/A;Data;1;5.035511
4;4130579599;4;lpc;it8728f;Voltage;1;1.452
4;4130579599;4;lpc;it8728f;Voltage;3;2.004
4;4130579599;4;lpc;it8728f;Voltage;2;1.932
4;4130579599;4;atigpu;0;Control;0;44
4;4130579599;4;atigpu;0;Clock;0;940
4;4130579599;4;atigpu;0;Load;0;64
4;4130579599;4;amdcpu;0;Load;1;65.625
4;4130579599;4;lpc;it8728f;Temperature;0;34
4;4130579599;4;lpc;it8728f;Temperature;1;44
4;4130579599;4;lpc;it8728f;Fan;0;5000
4;4130579599;4;lpc;it8728f;Fan;2;954.7383
4;4130579599;4;amdcpu;0;Clock;6;4018.427
4;4130579599;4;amdcpu;0;Temperature;0;36.25
4;4130579599;4;lpc;it8728f;Voltage;6;2.232
4;4130579599;4;amdcpu;0;Load;5;0
4;4130579599;4;amdcpu;0;Clock;7;4018.427
4;4130579599;4;amdcpu;0;Load;6;0
4;4130579599;4;lpc;it8728f;Voltage;0;1.416
4;4130579599;4;atigpu;0;Fan;0;1990
4;4130579599;4;lpc;it8728f;Voltage;4;1.956
5;5218941355;4;atigpu;0;Clock;1;1250
5;5218941355;4;amdcpu;0;Clock;2;4018.427
5;5218941355;4;ram;N/A;Load;0;36.77584
5;5218941355;4;amdcpu;0;Clock;3;4018.427
5;5218941355;4;amdcpu;0;Load;2;56.25
5;5218941355;4;ram;N/A;Data;0;2.929092
5;5218941355;4;lpc;it8728f;Voltage;7;3.264
5;5218941355;4;lpc;it8728f;Voltage;8;3.264
5;5218941355;4;hdd;0;Temperature;0;34
5;5218941355;4;amdcpu;0;Load;7;0
5;5218941355;4;lpc;it8728f;Control;0;0
5;5218941355;4;amdcpu;0;Load;8;0
5;5218941355;4;amdcpu;0;Clock;8;4018.427
5;5218941355;4;amdcpu;0;Clock;4;4018.427
5;5218941355;4;amdcpu;0;Load;3;0
5;5218941355;4;amdcpu;0;Clock;5;4018.427
5;5218941355;4;amdcpu;0;Load;4;1.5625
5;5218941355;4;hdd;0;Load;0;36.18314
5;5218941355;4;atigpu;0;Temperature;0;63
5;5218941355;4;amdcpu;0;Load;0;12.89063
5;5218941355;4;lpc;it8728f;Control;2;0
5;5218941355;4;amdcpu;0;Clock;1;4018.427
5;5218941355;4;amdcpu;0;Clock;0;200.9213
5;5218941355;4;atigpu;0;Voltage;0;1.169
5;5218941355;4;lpc;it8728f;Temperature;2;36
5;5218941355;4;lpc;it8728f;Control;1;0
