id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;6024313;0;lpc;nct6791d;Fan;2;764
0;6024313;0;lpc;nct6791d;Voltage;9;1,008
0;6024313;0;lpc;nct6791d;Voltage;1;1,016
0;6024313;0;nvidiagpu;0;Load;3;8,566284
0;6024313;0;lpc;nct6791d;Voltage;5;2,008
0;6024313;0;hdd;0;Load;0;66,81633
0;6024313;0;intelcpu;0;Temperature;1;33
0;6024313;0;lpc;nct6791d;Control;3;62,7451
0;6024313;0;nvidiagpu;0;Clock;0;139
0;6024313;0;intelcpu;0;Power;2;0
0;6024313;0;intelcpu;0;Clock;1;799,5373
0;6024313;0;intelcpu;0;Load;1;1,5625
0;6024313;0;nvidiagpu;0;Load;1;3
0;6024313;0;ram;N/A;Load;0;30,575
0;6024313;0;lpc;nct6791d;Fan;3;888
0;6024313;0;nvidiagpu;0;SmallData;2;263,1563
0;6024313;0;lpc;nct6791d;Voltage;3;3,376
0;6024313;0;hdd;0;Temperature;0;29
0;6024313;0;lpc;nct6791d;Control;0;62,7451
0;6024313;0;lpc;nct6791d;Voltage;7;3,456
0;6024313;0;hdd;1;Temperature;0;30
0;6024313;0;nvidiagpu;0;Temperature;0;53
0;6024313;0;intelcpu;0;Power;0;6,035269
0;6024313;0;intelcpu;0;Temperature;3;33
0;6024313;0;lpc;nct6791d;Control;5;100
0;6024313;0;nvidiagpu;0;Clock;2;278
0;6024313;0;intelcpu;0;Clock;0;99,94216
0;6024313;0;intelcpu;0;Clock;3;799,5373
0;6024313;0;intelcpu;0;Load;3;0,78125
0;6024313;0;nvidiagpu;0;Control;0;0
0;6024313;0;ram;N/A;Data;1;5,512085
0;6024313;0;lpc;nct6791d;Voltage;14;0,04
0;6024313;0;lpc;nct6791d;Temperature;5;26
0;6024313;0;intelcpu;0;Load;0;0,78125
0;6024313;0;lpc;nct6791d;Voltage;12;0,04
0;6024313;0;lpc;nct6791d;Voltage;13;0,04
0;6024313;0;lpc;nct6791d;Temperature;1;34,5
0;6024313;0;lpc;nct6791d;Voltage;2;3,376
0;6024313;0;lpc;nct6791d;Voltage;11;1
0;6024313;0;nvidiagpu;0;Load;0;0
0;6024313;0;lpc;nct6791d;Voltage;0;0,8880001
0;6024313;0;nvidiagpu;0;SmallData;1;2808,844
0;6024313;0;lpc;nct6791d;Voltage;4;1,008
0;6024313;0;hdd;0;Data;0;-121,8147
0;6024313;0;intelcpu;0;Temperature;0;36
0;6024313;0;lpc;nct6791d;Control;2;62,7451
0;6024313;0;nvidiagpu;0;Fan;0;0
0;6024313;0;intelcpu;0;Power;1;0,1702603
0;6024313;0;intelcpu;0;Temperature;4;36
0;6024313;0;intelcpu;0;Load;4;0,78125
0;6024313;0;hdd;1;Load;0;82,90598
0;6024313;0;nvidiagpu;0;SmallData;3;3072
0;6024313;0;lpc;nct6791d;Fan;0;755
0;6024313;0;lpc;nct6791d;Voltage;8;3,312
0;6024313;0;lpc;nct6791d;Voltage;6;0,04
0;6024313;0;intelcpu;0;Clock;4;799,5373
0;6024313;0;intelcpu;0;Temperature;2;32
0;6024313;0;lpc;nct6791d;Control;4;62,7451
0;6024313;0;nvidiagpu;0;Clock;1;405
0;6024313;0;intelcpu;0;Power;3;0,8038848
0;6024313;0;intelcpu;0;Clock;2;799,5373
0;6024313;0;intelcpu;0;Load;2;0
0;6024313;0;nvidiagpu;0;Load;2;0
0;6024313;0;ram;N/A;Data;0;2,42754
0;6024313;0;lpc;nct6791d;Temperature;0;33,5
0;6024313;0;lpc;nct6791d;Control;1;34,11765
0;6024313;0;lpc;nct6791d;Temperature;2;33
0;6024313;0;lpc;nct6791d;Fan;1;1000
1;1001264925;1889;lpc;nct6791d;Fan;2;766
1;1001264925;1889;lpc;nct6791d;Voltage;9;1,008
1;1001264925;1889;lpc;nct6791d;Voltage;1;1,016
1;1001264925;1889;nvidiagpu;0;Load;3;10,34559
1;1001264925;1889;lpc;nct6791d;Voltage;5;2,008
1;1001264925;1889;hdd;0;Load;0;66,81633
1;1001264925;1889;intelcpu;0;Temperature;1;33
1;1001264925;1889;lpc;nct6791d;Control;3;63,92157
1;1001264925;1889;nvidiagpu;0;Clock;0;1721
1;1001264925;1889;intelcpu;0;Power;2;0
1;1001264925;1889;intelcpu;0;Clock;1;1599,074
1;1001264925;1889;intelcpu;0;Load;1;7,03125
1;1001264925;1889;nvidiagpu;0;Load;1;2
1;1001264925;1889;ram;N/A;Load;0;30,96763
1;1001264925;1889;lpc;nct6791d;Fan;3;886
1;1001264925;1889;nvidiagpu;0;SmallData;2;317,8164
1;1001264925;1889;lpc;nct6791d;Voltage;3;3,376
1;1001264925;1889;hdd;0;Temperature;0;29
1;1001264925;1889;lpc;nct6791d;Control;0;63,52941
1;1001264925;1889;lpc;nct6791d;Voltage;7;3,456
1;1001264925;1889;hdd;1;Temperature;0;30
1;1001264925;1889;nvidiagpu;0;Temperature;0;54
1;1001264925;1889;intelcpu;0;Power;0;12,41066
1;1001264925;1889;intelcpu;0;Temperature;3;35
1;1001264925;1889;lpc;nct6791d;Control;5;100
1;1001264925;1889;nvidiagpu;0;Clock;2;3442
1;1001264925;1889;intelcpu;0;Clock;0;99,9421
1;1001264925;1889;intelcpu;0;Clock;3;1599,074
1;1001264925;1889;intelcpu;0;Load;3;4,651439
1;1001264925;1889;nvidiagpu;0;Control;0;0
1;1001264925;1889;ram;N/A;Data;1;5,480911
1;1001264925;1889;lpc;nct6791d;Temperature;6;54
1;1001264925;1889;lpc;nct6791d;Voltage;14;0,416
1;1001264925;1889;lpc;nct6791d;Temperature;5;26
1;1001264925;1889;intelcpu;0;Load;0;6,601566
1;1001264925;1889;lpc;nct6791d;Voltage;12;0,32
1;1001264925;1889;lpc;nct6791d;Voltage;13;0,24
1;1001264925;1889;lpc;nct6791d;Temperature;1;34
1;1001264925;1889;lpc;nct6791d;Voltage;2;3,376
1;1001264925;1889;lpc;nct6791d;Voltage;11;1
1;1001264925;1889;nvidiagpu;0;Load;0;55
1;1001264925;1889;lpc;nct6791d;Voltage;0;0,8800001
1;1001264925;1889;nvidiagpu;0;SmallData;1;2754,184
1;1001264925;1889;lpc;nct6791d;Voltage;4;1
1;1001264925;1889;hdd;0;Data;0;-121,8147
1;1001264925;1889;intelcpu;0;Temperature;0;38
1;1001264925;1889;lpc;nct6791d;Control;2;63,52941
1;1001264925;1889;nvidiagpu;0;Fan;0;0
1;1001264925;1889;intelcpu;0;Power;1;4,880257
1;1001264925;1889;intelcpu;0;Temperature;4;38
1;1001264925;1889;intelcpu;0;Load;4;6,25
1;1001264925;1889;hdd;1;Load;0;82,90598
1;1001264925;1889;nvidiagpu;0;SmallData;3;3072
1;1001264925;1889;lpc;nct6791d;Fan;0;758
1;1001264925;1889;lpc;nct6791d;Voltage;8;3,312
1;1001264925;1889;lpc;nct6791d;Temperature;3;77
1;1001264925;1889;lpc;nct6791d;Voltage;6;0,376
1;1001264925;1889;intelcpu;0;Clock;4;1599,074
1;1001264925;1889;intelcpu;0;Temperature;2;35
1;1001264925;1889;lpc;nct6791d;Control;4;63,92157
1;1001264925;1889;nvidiagpu;0;Clock;1;4006,8
1;1001264925;1889;intelcpu;0;Power;3;0,9705433
1;1001264925;1889;intelcpu;0;Clock;2;1599,074
1;1001264925;1889;intelcpu;0;Load;2;8,473557
1;1001264925;1889;nvidiagpu;0;Load;2;0
1;1001264925;1889;ram;N/A;Data;0;2,458714
1;1001264925;1889;lpc;nct6791d;Temperature;0;35
1;1001264925;1889;lpc;nct6791d;Control;1;35,29412
1;1001264925;1889;lpc;nct6791d;Temperature;2;33
1;1001264925;1889;lpc;nct6791d;Fan;1;983
2;2001447309;1993;lpc;nct6791d;Fan;2;767
2;2001447309;1993;lpc;nct6791d;Voltage;9;1,008
2;2001447309;1993;lpc;nct6791d;Voltage;1;1,016
2;2001447309;1993;nvidiagpu;0;Load;3;10,26217
2;2001447309;1993;lpc;nct6791d;Voltage;5;2,008
2;2001447309;1993;hdd;0;Load;0;66,81633
2;2001447309;1993;intelcpu;0;Temperature;1;34
2;2001447309;1993;lpc;nct6791d;Control;3;64,70589
2;2001447309;1993;nvidiagpu;0;Clock;0;1936
2;2001447309;1993;intelcpu;0;Power;2;0
2;2001447309;1993;intelcpu;0;Clock;1;1998,843
2;2001447309;1993;intelcpu;0;Load;1;16,40625
2;2001447309;1993;nvidiagpu;0;Load;1;3
2;2001447309;1993;ram;N/A;Load;0;30,96801
2;2001447309;1993;lpc;nct6791d;Fan;3;877
2;2001447309;1993;nvidiagpu;0;SmallData;2;315,2539
2;2001447309;1993;lpc;nct6791d;Voltage;3;3,376
2;2001447309;1993;hdd;0;Temperature;0;29
2;2001447309;1993;lpc;nct6791d;Control;0;64,70589
2;2001447309;1993;lpc;nct6791d;Voltage;7;3,456
2;2001447309;1993;hdd;1;Temperature;0;30
2;2001447309;1993;nvidiagpu;0;Temperature;0;59
2;2001447309;1993;intelcpu;0;Power;0;17,12899
2;2001447309;1993;intelcpu;0;Temperature;3;36
2;2001447309;1993;lpc;nct6791d;Control;5;100
2;2001447309;1993;nvidiagpu;0;Clock;2;3872
2;2001447309;1993;intelcpu;0;Clock;0;99,94215
2;2001447309;1993;intelcpu;0;Clock;3;1998,843
2;2001447309;1993;intelcpu;0;Load;3;7,03125
2;2001447309;1993;nvidiagpu;0;Control;0;0
2;2001447309;1993;ram;N/A;Data;1;5,480881
2;2001447309;1993;lpc;nct6791d;Temperature;6;71
2;2001447309;1993;lpc;nct6791d;Voltage;14;0,416
2;2001447309;1993;lpc;nct6791d;Temperature;5;26
2;2001447309;1993;intelcpu;0;Load;0;13,08594
2;2001447309;1993;lpc;nct6791d;Voltage;12;0,424
2;2001447309;1993;lpc;nct6791d;Voltage;13;0,416
2;2001447309;1993;lpc;nct6791d;Temperature;1;34,5
2;2001447309;1993;lpc;nct6791d;Voltage;2;3,376
2;2001447309;1993;lpc;nct6791d;Voltage;11;1,008
2;2001447309;1993;nvidiagpu;0;Load;0;76
2;2001447309;1993;lpc;nct6791d;Voltage;0;0,8880001
2;2001447309;1993;nvidiagpu;0;SmallData;1;2756,746
2;2001447309;1993;lpc;nct6791d;Voltage;4;1
2;2001447309;1993;hdd;0;Data;0;-121,8147
2;2001447309;1993;intelcpu;0;Temperature;0;39
2;2001447309;1993;lpc;nct6791d;Control;2;64,70589
2;2001447309;1993;nvidiagpu;0;Fan;0;0
2;2001447309;1993;intelcpu;0;Power;1;6,037279
2;2001447309;1993;intelcpu;0;Temperature;4;39
2;2001447309;1993;intelcpu;0;Load;4;7,8125
2;2001447309;1993;hdd;1;Load;0;82,90598
2;2001447309;1993;nvidiagpu;0;SmallData;3;3072
2;2001447309;1993;lpc;nct6791d;Fan;0;765
2;2001447309;1993;lpc;nct6791d;Voltage;8;3,312
2;2001447309;1993;lpc;nct6791d;Temperature;3;70
2;2001447309;1993;lpc;nct6791d;Voltage;6;0,376
2;2001447309;1993;intelcpu;0;Clock;4;1998,843
2;2001447309;1993;intelcpu;0;Temperature;2;35
2;2001447309;1993;lpc;nct6791d;Control;4;64,70589
2;2001447309;1993;nvidiagpu;0;Clock;1;4006,8
2;2001447309;1993;intelcpu;0;Power;3;0,8925761
2;2001447309;1993;intelcpu;0;Clock;2;1998,843
2;2001447309;1993;intelcpu;0;Load;2;21,09375
2;2001447309;1993;nvidiagpu;0;Load;2;0
2;2001447309;1993;ram;N/A;Data;0;2,458744
2;2001447309;1993;lpc;nct6791d;Temperature;0;35,5
2;2001447309;1993;lpc;nct6791d;Control;1;36,47059
2;2001447309;1993;lpc;nct6791d;Temperature;2;33
2;2001447309;1993;lpc;nct6791d;Fan;1;1001
3;3001303271;2009;lpc;nct6791d;Fan;2;784
3;3001303271;2009;lpc;nct6791d;Voltage;9;1,008
3;3001303271;2009;lpc;nct6791d;Voltage;1;1,008
3;3001303271;2009;nvidiagpu;0;Load;3;10,26217
3;3001303271;2009;lpc;nct6791d;Voltage;5;2,008
3;3001303271;2009;hdd;0;Load;0;66,81633
3;3001303271;2009;intelcpu;0;Temperature;1;35
3;3001303271;2009;lpc;nct6791d;Control;3;65,88235
3;3001303271;2009;nvidiagpu;0;Clock;0;1936
3;3001303271;2009;intelcpu;0;Power;2;0
3;3001303271;2009;intelcpu;0;Clock;1;1998,843
3;3001303271;2009;intelcpu;0;Load;1;14,84375
3;3001303271;2009;nvidiagpu;0;Load;1;3
3;3001303271;2009;ram;N/A;Load;0;30,96821
3;3001303271;2009;lpc;nct6791d;Fan;3;912
3;3001303271;2009;nvidiagpu;0;SmallData;2;315,2539
3;3001303271;2009;lpc;nct6791d;Voltage;3;3,376
3;3001303271;2009;hdd;0;Temperature;0;29
3;3001303271;2009;lpc;nct6791d;Control;0;65,88235
3;3001303271;2009;lpc;nct6791d;Voltage;7;3,456
3;3001303271;2009;hdd;1;Temperature;0;30
3;3001303271;2009;nvidiagpu;0;Temperature;0;59
3;3001303271;2009;intelcpu;0;Power;0;17,38356
3;3001303271;2009;intelcpu;0;Temperature;3;34
3;3001303271;2009;lpc;nct6791d;Control;5;100
3;3001303271;2009;nvidiagpu;0;Clock;2;3872
3;3001303271;2009;intelcpu;0;Clock;0;99,94214
3;3001303271;2009;intelcpu;0;Clock;3;1998,843
3;3001303271;2009;intelcpu;0;Load;3;4,6875
3;3001303271;2009;nvidiagpu;0;Control;0;0
3;3001303271;2009;ram;N/A;Data;1;5,480865
3;3001303271;2009;lpc;nct6791d;Temperature;6;65
3;3001303271;2009;lpc;nct6791d;Voltage;14;0,416
3;3001303271;2009;lpc;nct6791d;Temperature;5;26
3;3001303271;2009;intelcpu;0;Load;0;11,13281
3;3001303271;2009;lpc;nct6791d;Voltage;12;0,368
3;3001303271;2009;lpc;nct6791d;Voltage;13;0,104
3;3001303271;2009;lpc;nct6791d;Temperature;1;34,5
3;3001303271;2009;lpc;nct6791d;Voltage;2;3,376
3;3001303271;2009;lpc;nct6791d;Voltage;11;1
3;3001303271;2009;nvidiagpu;0;Load;0;80
3;3001303271;2009;lpc;nct6791d;Voltage;0;0,8880001
3;3001303271;2009;nvidiagpu;0;SmallData;1;2756,746
3;3001303271;2009;lpc;nct6791d;Voltage;4;1
3;3001303271;2009;hdd;0;Data;0;-121,8147
3;3001303271;2009;intelcpu;0;Temperature;0;39
3;3001303271;2009;lpc;nct6791d;Control;2;65,88235
3;3001303271;2009;nvidiagpu;0;Fan;0;0
3;3001303271;2009;intelcpu;0;Power;1;6,003324
3;3001303271;2009;intelcpu;0;Temperature;4;39
3;3001303271;2009;intelcpu;0;Load;4;1,5625
3;3001303271;2009;hdd;1;Load;0;82,90598
3;3001303271;2009;nvidiagpu;0;SmallData;3;3072
3;3001303271;2009;lpc;nct6791d;Fan;0;771
3;3001303271;2009;lpc;nct6791d;Voltage;8;3,312
3;3001303271;2009;lpc;nct6791d;Temperature;3;70
3;3001303271;2009;lpc;nct6791d;Voltage;6;0,152
3;3001303271;2009;intelcpu;0;Clock;4;1998,843
3;3001303271;2009;intelcpu;0;Temperature;2;34
3;3001303271;2009;lpc;nct6791d;Control;4;65,88235
3;3001303271;2009;nvidiagpu;0;Clock;1;4006,8
3;3001303271;2009;intelcpu;0;Power;3;0,8909138
3;3001303271;2009;intelcpu;0;Clock;2;1998,843
3;3001303271;2009;intelcpu;0;Load;2;23,4375
3;3001303271;2009;nvidiagpu;0;Load;2;0
3;3001303271;2009;ram;N/A;Data;0;2,458759
3;3001303271;2009;lpc;nct6791d;Temperature;0;36
3;3001303271;2009;lpc;nct6791d;Control;1;36,47059
3;3001303271;2009;lpc;nct6791d;Temperature;2;33
3;3001303271;2009;lpc;nct6791d;Fan;1;986
4;4001251179;2034;lpc;nct6791d;Fan;2;791
4;4001251179;2034;lpc;nct6791d;Voltage;9;1,008
4;4001251179;2034;lpc;nct6791d;Voltage;1;1,016
4;4001251179;2034;nvidiagpu;0;Load;3;10,26217
4;4001251179;2034;lpc;nct6791d;Voltage;5;2,008
4;4001251179;2034;hdd;0;Load;0;66,81633
4;4001251179;2034;intelcpu;0;Temperature;1;34
4;4001251179;2034;lpc;nct6791d;Control;3;64,70589
4;4001251179;2034;nvidiagpu;0;Clock;0;1936
4;4001251179;2034;intelcpu;0;Power;2;0
4;4001251179;2034;intelcpu;0;Clock;1;1998,842
4;4001251179;2034;intelcpu;0;Load;1;12,5
4;4001251179;2034;nvidiagpu;0;Load;1;3
4;4001251179;2034;ram;N/A;Load;0;30,96835
4;4001251179;2034;lpc;nct6791d;Fan;3;892
4;4001251179;2034;nvidiagpu;0;SmallData;2;315,2539
4;4001251179;2034;lpc;nct6791d;Voltage;3;3,376
4;4001251179;2034;hdd;0;Temperature;0;29
4;4001251179;2034;lpc;nct6791d;Control;0;64,70589
4;4001251179;2034;lpc;nct6791d;Voltage;7;3,456
4;4001251179;2034;hdd;1;Temperature;0;30
4;4001251179;2034;nvidiagpu;0;Temperature;0;60
4;4001251179;2034;intelcpu;0;Power;0;18,05334
4;4001251179;2034;intelcpu;0;Temperature;3;34
4;4001251179;2034;lpc;nct6791d;Control;5;100
4;4001251179;2034;nvidiagpu;0;Clock;2;3872
4;4001251179;2034;intelcpu;0;Clock;0;99,94212
4;4001251179;2034;intelcpu;0;Clock;3;1998,842
4;4001251179;2034;intelcpu;0;Load;3;1,5625
4;4001251179;2034;nvidiagpu;0;Control;0;0
4;4001251179;2034;ram;N/A;Data;1;5,480854
4;4001251179;2034;lpc;nct6791d;Temperature;6;65
4;4001251179;2034;lpc;nct6791d;Voltage;14;0,416
4;4001251179;2034;lpc;nct6791d;Temperature;5;26
4;4001251179;2034;intelcpu;0;Load;0;10,35156
4;4001251179;2034;lpc;nct6791d;Voltage;12;0,424
4;4001251179;2034;lpc;nct6791d;Voltage;13;0,424
4;4001251179;2034;lpc;nct6791d;Temperature;1;34,5
4;4001251179;2034;lpc;nct6791d;Voltage;2;3,376
4;4001251179;2034;lpc;nct6791d;Voltage;11;1
4;4001251179;2034;nvidiagpu;0;Load;0;82
4;4001251179;2034;lpc;nct6791d;Voltage;0;0,8880001
4;4001251179;2034;nvidiagpu;0;SmallData;1;2756,746
4;4001251179;2034;lpc;nct6791d;Voltage;4;1
4;4001251179;2034;hdd;0;Data;0;-121,8147
4;4001251179;2034;intelcpu;0;Temperature;0;38
4;4001251179;2034;lpc;nct6791d;Control;2;64,70589
4;4001251179;2034;nvidiagpu;0;Fan;0;0
4;4001251179;2034;intelcpu;0;Power;1;6,532449
4;4001251179;2034;intelcpu;0;Temperature;4;39
4;4001251179;2034;intelcpu;0;Load;4;3,125
4;4001251179;2034;hdd;1;Load;0;82,90598
4;4001251179;2034;nvidiagpu;0;SmallData;3;3072
4;4001251179;2034;lpc;nct6791d;Fan;0;777
4;4001251179;2034;lpc;nct6791d;Voltage;8;3,312
4;4001251179;2034;lpc;nct6791d;Temperature;3;121
4;4001251179;2034;lpc;nct6791d;Voltage;6;8,000001E-02
4;4001251179;2034;intelcpu;0;Clock;4;1998,842
4;4001251179;2034;intelcpu;0;Temperature;2;34
4;4001251179;2034;lpc;nct6791d;Control;4;64,70589
4;4001251179;2034;nvidiagpu;0;Clock;1;4006,8
4;4001251179;2034;intelcpu;0;Power;3;0,9012421
4;4001251179;2034;intelcpu;0;Clock;2;1998,842
4;4001251179;2034;intelcpu;0;Load;2;24,21875
4;4001251179;2034;nvidiagpu;0;Load;2;0
4;4001251179;2034;ram;N/A;Data;0;2,458771
4;4001251179;2034;lpc;nct6791d;Temperature;0;35
4;4001251179;2034;lpc;nct6791d;Control;1;36,47059
4;4001251179;2034;lpc;nct6791d;Temperature;2;33
4;4001251179;2034;lpc;nct6791d;Fan;1;1001
5;5001215752;2026;lpc;nct6791d;Fan;2;789
5;5001215752;2026;lpc;nct6791d;Voltage;9;1,008
5;5001215752;2026;lpc;nct6791d;Voltage;1;1,016
5;5001215752;2026;nvidiagpu;0;Load;3;10,26217
5;5001215752;2026;lpc;nct6791d;Voltage;5;2,008
5;5001215752;2026;hdd;0;Load;0;66,81633
5;5001215752;2026;intelcpu;0;Temperature;1;35
5;5001215752;2026;lpc;nct6791d;Control;3;63,92157
5;5001215752;2026;nvidiagpu;0;Clock;0;1936
5;5001215752;2026;intelcpu;0;Power;2;0
5;5001215752;2026;intelcpu;0;Clock;1;1998,843
5;5001215752;2026;intelcpu;0;Load;1;14,84375
5;5001215752;2026;nvidiagpu;0;Load;1;3
5;5001215752;2026;ram;N/A;Load;0;30,96427
5;5001215752;2026;lpc;nct6791d;Fan;3;917
5;5001215752;2026;nvidiagpu;0;SmallData;2;315,2539
5;5001215752;2026;lpc;nct6791d;Voltage;3;3,376
5;5001215752;2026;hdd;0;Temperature;0;29
5;5001215752;2026;lpc;nct6791d;Control;0;63,52941
5;5001215752;2026;lpc;nct6791d;Voltage;7;3,456
5;5001215752;2026;hdd;1;Temperature;0;30
5;5001215752;2026;nvidiagpu;0;Temperature;0;60
5;5001215752;2026;intelcpu;0;Power;0;17,92158
5;5001215752;2026;intelcpu;0;Temperature;3;36
5;5001215752;2026;lpc;nct6791d;Control;5;100
5;5001215752;2026;nvidiagpu;0;Clock;2;3872
