id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;6096035;0;lpc;nct6791d;Fan;1;1135
0;6096035;0;lpc;nct6791d;Voltage;9;1,008
0;6096035;0;lpc;nct6791d;Voltage;1;1,016
0;6096035;0;nvidiagpu;0;Load;3;10,45049
0;6096035;0;lpc;nct6791d;Voltage;5;2,008
0;6096035;0;hdd;0;Load;0;66,94803
0;6096035;0;intelcpu;0;Temperature;1;48
0;6096035;0;lpc;nct6791d;Control;3;76,07843
0;6096035;0;nvidiagpu;0;Clock;0;139
0;6096035;0;intelcpu;0;Power;2;0
0;6096035;0;intelcpu;0;Clock;1;799,5371
0;6096035;0;intelcpu;0;Load;1;0
0;6096035;0;nvidiagpu;0;Load;1;3
0;6096035;0;ram;N/A;Load;0;28,70056
0;6096035;0;lpc;nct6791d;Fan;2;920
0;6096035;0;nvidiagpu;0;SmallData;2;321,0391
0;6096035;0;lpc;nct6791d;Voltage;3;3,376
0;6096035;0;hdd;0;Temperature;0;30
0;6096035;0;lpc;nct6791d;Control;0;76,07843
0;6096035;0;lpc;nct6791d;Voltage;7;3,456
0;6096035;0;hdd;1;Temperature;0;31
0;6096035;0;nvidiagpu;0;Temperature;0;55
0;6096035;0;intelcpu;0;Power;0;6,564705
0;6096035;0;intelcpu;0;Temperature;3;50
0;6096035;0;lpc;nct6791d;Control;5;100
0;6096035;0;nvidiagpu;0;Clock;2;278
0;6096035;0;intelcpu;0;Clock;0;99,94214
0;6096035;0;intelcpu;0;Clock;3;799,5371
0;6096035;0;intelcpu;0;Load;3;0
0;6096035;0;nvidiagpu;0;Control;0;29
0;6096035;0;ram;N/A;Data;1;5,660908
0;6096035;0;lpc;nct6791d;Voltage;14;0,04
0;6096035;0;lpc;nct6791d;Temperature;3;104
0;6096035;0;intelcpu;0;Load;0;1,171875
0;6096035;0;lpc;nct6791d;Voltage;12;0,072
0;6096035;0;lpc;nct6791d;Voltage;13;0,04
0;6096035;0;lpc;nct6791d;Temperature;1;47
0;6096035;0;lpc;nct6791d;Voltage;2;3,376
0;6096035;0;lpc;nct6791d;Voltage;11;1
0;6096035;0;nvidiagpu;0;Load;0;0
0;6096035;0;lpc;nct6791d;Voltage;0;0,8880001
0;6096035;0;nvidiagpu;0;SmallData;1;2750,961
0;6096035;0;lpc;nct6791d;Voltage;4;1
0;6096035;0;hdd;0;Data;0;-115,5128
0;6096035;0;intelcpu;0;Temperature;0;53
0;6096035;0;lpc;nct6791d;Control;2;76,07843
0;6096035;0;nvidiagpu;0;Fan;0;913
0;6096035;0;intelcpu;0;Power;1;0,3852514
0;6096035;0;intelcpu;0;Temperature;4;54
0;6096035;0;intelcpu;0;Load;4;4,6875
0;6096035;0;hdd;1;Load;0;82,90601
0;6096035;0;nvidiagpu;0;SmallData;3;3072
0;6096035;0;lpc;nct6791d;Temperature;5;26
0;6096035;0;lpc;nct6791d;Voltage;8;3,312
0;6096035;0;lpc;nct6791d;Fan;3;1004
0;6096035;0;lpc;nct6791d;Voltage;6;0,04
0;6096035;0;intelcpu;0;Clock;4;799,5371
0;6096035;0;intelcpu;0;Temperature;2;49
0;6096035;0;lpc;nct6791d;Control;4;75,68628
0;6096035;0;nvidiagpu;0;Clock;1;405
0;6096035;0;intelcpu;0;Power;3;0,8038067
0;6096035;0;intelcpu;0;Clock;2;799,5371
0;6096035;0;intelcpu;0;Load;2;0
0;6096035;0;nvidiagpu;0;Load;2;0
0;6096035;0;ram;N/A;Data;0;2,278717
0;6096035;0;lpc;nct6791d;Temperature;0;46,5
0;6096035;0;lpc;nct6791d;Control;1;49,01961
0;6096035;0;lpc;nct6791d;Temperature;2;33
0;6096035;0;lpc;nct6791d;Fan;0;921
1;1001024318;2588;lpc;nct6791d;Fan;1;1139
1;1001024318;2588;lpc;nct6791d;Voltage;9;1,008
1;1001024318;2588;lpc;nct6791d;Voltage;1;1,008
1;1001024318;2588;nvidiagpu;0;Load;3;11,04253
1;1001024318;2588;lpc;nct6791d;Voltage;5;2,008
1;1001024318;2588;hdd;0;Load;0;66,94803
1;1001024318;2588;intelcpu;0;Temperature;1;56
1;1001024318;2588;lpc;nct6791d;Control;3;80
1;1001024318;2588;nvidiagpu;0;Clock;0;1936
1;1001024318;2588;intelcpu;0;Power;2;0
1;1001024318;2588;intelcpu;0;Clock;1;3597,918
1;1001024318;2588;intelcpu;0;Load;1;21,71875
1;1001024318;2588;nvidiagpu;0;Load;1;6
1;1001024318;2588;ram;N/A;Load;0;30,05667
1;1001024318;2588;lpc;nct6791d;Fan;2;914
1;1001024318;2588;nvidiagpu;0;SmallData;2;339,2266
1;1001024318;2588;lpc;nct6791d;Voltage;3;3,376
1;1001024318;2588;hdd;0;Temperature;0;30
1;1001024318;2588;lpc;nct6791d;Control;0;79,60784
1;1001024318;2588;lpc;nct6791d;Voltage;7;3,456
1;1001024318;2588;hdd;1;Temperature;0;31
1;1001024318;2588;nvidiagpu;0;Temperature;0;57
1;1001024318;2588;intelcpu;0;Power;0;28,26198
