id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;6350719;0;lpc;nct6791d;Fan;2;760
0;6350719;0;lpc;nct6791d;Voltage;9;1,008
0;6350719;0;lpc;nct6791d;Voltage;1;1,016
0;6350719;0;nvidiagpu;0;Load;3;6,098302
0;6350719;0;lpc;nct6791d;Voltage;5;2,008
0;6350719;0;hdd;0;Load;0;67,11853
0;6350719;0;intelcpu;0;Temperature;1;39
0;6350719;0;lpc;nct6791d;Control;3;61,96078
0;6350719;0;nvidiagpu;0;Clock;0;139
0;6350719;0;intelcpu;0;Power;2;0
0;6350719;0;intelcpu;0;Clock;1;3897,744
0;6350719;0;intelcpu;0;Load;1;2,34375
0;6350719;0;nvidiagpu;0;Load;1;4
0;6350719;0;ram;N/A;Load;0;26,55862
0;6350719;0;lpc;nct6791d;Fan;3;873
0;6350719;0;nvidiagpu;0;SmallData;2;187,3398
0;6350719;0;lpc;nct6791d;Voltage;3;3,376
0;6350719;0;hdd;0;Temperature;0;28
0;6350719;0;lpc;nct6791d;Control;0;61,96078
0;6350719;0;lpc;nct6791d;Voltage;7;3,456
0;6350719;0;hdd;1;Temperature;0;29
0;6350719;0;nvidiagpu;0;Temperature;0;46
0;6350719;0;intelcpu;0;Power;0;9,147012
0;6350719;0;intelcpu;0;Temperature;3;33
0;6350719;0;lpc;nct6791d;Control;5;100
0;6350719;0;nvidiagpu;0;Clock;2;278
0;6350719;0;intelcpu;0;Clock;0;99,94215
0;6350719;0;intelcpu;0;Clock;3;3697,86
0;6350719;0;intelcpu;0;Load;3;1,5625
0;6350719;0;nvidiagpu;0;Control;0;0
0;6350719;0;ram;N/A;Data;1;5,830971
0;6350719;0;lpc;nct6791d;Voltage;14;0,04
0;6350719;0;lpc;nct6791d;Temperature;5;26
0;6350719;0;intelcpu;0;Load;0;3,503895
0;6350719;0;lpc;nct6791d;Voltage;12;0,04
0;6350719;0;lpc;nct6791d;Voltage;13;0,112
0;6350719;0;lpc;nct6791d;Temperature;1;32,5
0;6350719;0;lpc;nct6791d;Voltage;2;3,376
0;6350719;0;lpc;nct6791d;Voltage;11;1
0;6350719;0;nvidiagpu;0;Load;0;1
0;6350719;0;lpc;nct6791d;Voltage;0;0,8880001
0;6350719;0;nvidiagpu;0;SmallData;1;2884,66
0;6350719;0;lpc;nct6791d;Voltage;4;1,008
0;6350719;0;hdd;0;Data;0;-114,0756
0;6350719;0;intelcpu;0;Temperature;0;36
0;6350719;0;lpc;nct6791d;Control;2;61,96078
0;6350719;0;nvidiagpu;0;Fan;0;0
0;6350719;0;intelcpu;0;Power;1;2,067951
0;6350719;0;intelcpu;0;Temperature;4;39
0;6350719;0;intelcpu;0;Load;4;3,112984
0;6350719;0;hdd;1;Load;0;82,90602
0;6350719;0;nvidiagpu;0;SmallData;3;3072
0;6350719;0;lpc;nct6791d;Fan;0;739
0;6350719;0;lpc;nct6791d;Voltage;8;3,312
0;6350719;0;lpc;nct6791d;Temperature;3;103
0;6350719;0;lpc;nct6791d;Voltage;6;0,232
0;6350719;0;intelcpu;0;Clock;4;3797,802
0;6350719;0;intelcpu;0;Temperature;2;33
0;6350719;0;lpc;nct6791d;Control;4;61,96078
0;6350719;0;nvidiagpu;0;Clock;1;405
0;6350719;0;intelcpu;0;Power;3;0,8568453
0;6350719;0;intelcpu;0;Clock;2;3897,744
0;6350719;0;intelcpu;0;Load;2;6,996334
0;6350719;0;nvidiagpu;0;Load;2;0
0;6350719;0;ram;N/A;Data;0;2,108654
0;6350719;0;lpc;nct6791d;Temperature;0;32,5
0;6350719;0;lpc;nct6791d;Control;1;32,94118
0;6350719;0;lpc;nct6791d;Temperature;2;32
0;6350719;0;lpc;nct6791d;Fan;1;1000
1;1001317619;1520;lpc;nct6791d;Fan;2;765
1;1001317619;1520;lpc;nct6791d;Voltage;9;1,008
1;1001317619;1520;lpc;nct6791d;Voltage;1;1,016
1;1001317619;1520;nvidiagpu;0;Load;3;6,541824
1;1001317619;1520;lpc;nct6791d;Voltage;5;2,008
1;1001317619;1520;hdd;0;Load;0;67,11853
1;1001317619;1520;intelcpu;0;Temperature;1;40
1;1001317619;1520;lpc;nct6791d;Control;3;65,88235
1;1001317619;1520;nvidiagpu;0;Clock;0;1961,5
1;1001317619;1520;intelcpu;0;Power;2;0
1;1001317619;1520;intelcpu;0;Clock;1;3797,802
1;1001317619;1520;intelcpu;0;Load;1;10,09616
1;1001317619;1520;nvidiagpu;0;Load;1;4
1;1001317619;1520;ram;N/A;Load;0;26,92184
1;1001317619;1520;lpc;nct6791d;Fan;3;861
1;1001317619;1520;nvidiagpu;0;SmallData;2;200,9648
1;1001317619;1520;lpc;nct6791d;Voltage;3;3,376
1;1001317619;1520;hdd;0;Temperature;0;28
1;1001317619;1520;lpc;nct6791d;Control;0;65,88235
1;1001317619;1520;lpc;nct6791d;Voltage;7;3,456
1;1001317619;1520;hdd;1;Temperature;0;29
1;1001317619;1520;nvidiagpu;0;Temperature;0;50
1;1001317619;1520;intelcpu;0;Power;0;33,41347
1;1001317619;1520;intelcpu;0;Temperature;3;36
1;1001317619;1520;lpc;nct6791d;Control;5;100
1;1001317619;1520;nvidiagpu;0;Clock;2;3923
1;1001317619;1520;intelcpu;0;Clock;0;99,94216
1;1001317619;1520;intelcpu;0;Clock;3;3697,86
1;1001317619;1520;intelcpu;0;Load;3;6,25
1;1001317619;1520;nvidiagpu;0;Control;0;0
1;1001317619;1520;ram;N/A;Data;1;5,802132
1;1001317619;1520;lpc;nct6791d;Temperature;6;53
1;1001317619;1520;lpc;nct6791d;Voltage;14;0,544
1;1001317619;1520;lpc;nct6791d;Temperature;5;26
1;1001317619;1520;intelcpu;0;Load;0;16,58654
1;1001317619;1520;lpc;nct6791d;Voltage;12;0,552
1;1001317619;1520;lpc;nct6791d;Voltage;13;0,44
1;1001317619;1520;lpc;nct6791d;Temperature;1;32,5
1;1001317619;1520;lpc;nct6791d;Voltage;2;3,376
1;1001317619;1520;lpc;nct6791d;Voltage;11;1,008
1;1001317619;1520;nvidiagpu;0;Load;0;78
1;1001317619;1520;lpc;nct6791d;Voltage;0;0,8800001
1;1001317619;1520;nvidiagpu;0;SmallData;1;2871,035
1;1001317619;1520;lpc;nct6791d;Voltage;4;1
1;1001317619;1520;hdd;0;Data;0;-114,0756
1;1001317619;1520;intelcpu;0;Temperature;0;39
1;1001317619;1520;lpc;nct6791d;Control;2;65,88235
1;1001317619;1520;nvidiagpu;0;Fan;0;0
1;1001317619;1520;intelcpu;0;Power;1;22,14038
1;1001317619;1520;intelcpu;0;Temperature;4;40
1;1001317619;1520;intelcpu;0;Load;4;4,6875
1;1001317619;1520;hdd;1;Load;0;82,90602
1;1001317619;1520;nvidiagpu;0;SmallData;3;3072
1;1001317619;1520;lpc;nct6791d;Fan;0;753
1;1001317619;1520;lpc;nct6791d;Voltage;8;3,312
1;1001317619;1520;lpc;nct6791d;Temperature;3;67
1;1001317619;1520;lpc;nct6791d;Voltage;6;0,008
1;1001317619;1520;intelcpu;0;Clock;4;3797,802
1;1001317619;1520;intelcpu;0;Temperature;2;38
1;1001317619;1520;lpc;nct6791d;Control;4;65,88235
1;1001317619;1520;nvidiagpu;0;Clock;1;4006,8
1;1001317619;1520;intelcpu;0;Power;3;1,237732
1;1001317619;1520;intelcpu;0;Clock;2;3697,86
1;1001317619;1520;intelcpu;0;Load;2;45,3125
1;1001317619;1520;nvidiagpu;0;Load;2;0
1;1001317619;1520;ram;N/A;Data;0;2,137493
1;1001317619;1520;lpc;nct6791d;Temperature;0;37
1;1001317619;1520;lpc;nct6791d;Control;1;36,47059
1;1001317619;1520;lpc;nct6791d;Temperature;2;32
1;1001317619;1520;lpc;nct6791d;Fan;1;1000
2;2001225982;1702;lpc;nct6791d;Fan;2;799
2;2001225982;1702;lpc;nct6791d;Voltage;9;1,008
2;2001225982;1702;lpc;nct6791d;Voltage;1;1,016
2;2001225982;1702;nvidiagpu;0;Load;3;6,541824
2;2001225982;1702;lpc;nct6791d;Voltage;5;2,008
2;2001225982;1702;hdd;0;Load;0;67,11853
2;2001225982;1702;intelcpu;0;Temperature;1;42
2;2001225982;1702;lpc;nct6791d;Control;3;67,05882
2;2001225982;1702;nvidiagpu;0;Clock;0;1961,5
2;2001225982;1702;intelcpu;0;Power;2;0
2;2001225982;1702;intelcpu;0;Clock;1;3797,801
2;2001225982;1702;intelcpu;0;Load;1;21,24256
2;2001225982;1702;nvidiagpu;0;Load;1;4
2;2001225982;1702;ram;N/A;Load;0;26,91463
2;2001225982;1702;lpc;nct6791d;Fan;3;918
2;2001225982;1702;nvidiagpu;0;SmallData;2;200,9648
2;2001225982;1702;lpc;nct6791d;Voltage;3;3,376
2;2001225982;1702;hdd;0;Temperature;0;28
2;2001225982;1702;lpc;nct6791d;Control;0;67,05882
2;2001225982;1702;lpc;nct6791d;Voltage;7;3,456
2;2001225982;1702;hdd;1;Temperature;0;29
2;2001225982;1702;nvidiagpu;0;Temperature;0;51
2;2001225982;1702;intelcpu;0;Power;0;34,86627
2;2001225982;1702;intelcpu;0;Temperature;3;36
2;2001225982;1702;lpc;nct6791d;Control;5;100
2;2001225982;1702;nvidiagpu;0;Clock;2;3923
2;2001225982;1702;intelcpu;0;Clock;0;99,94213
2;2001225982;1702;intelcpu;0;Clock;3;3697,859
2;2001225982;1702;intelcpu;0;Load;3;3,90625
2;2001225982;1702;nvidiagpu;0;Control;0;0
2;2001225982;1702;ram;N/A;Data;1;5,802704
2;2001225982;1702;lpc;nct6791d;Temperature;6;67
2;2001225982;1702;lpc;nct6791d;Voltage;14;0,48
