id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;13823516;0;atigpu;0;Clock;1;150
0;13823516;0;amdcpu;0;Clock;2;1406.449
0;13823516;0;ram;N/A;Load;0;28.58221
0;13823516;0;amdcpu;0;Clock;3;1406.449
0;13823516;0;amdcpu;0;Load;2;1.5625
0;13823516;0;ram;N/A;Data;0;2.276493
0;13823516;0;lpc;it8728f;Voltage;7;3.264
0;13823516;0;lpc;it8728f;Voltage;8;3.264
0;13823516;0;hdd;0;Temperature;0;32
0;13823516;0;amdcpu;0;Load;7;0
0;13823516;0;lpc;it8728f;Control;0;0
0;13823516;0;amdcpu;0;Load;8;3.125
0;13823516;0;amdcpu;0;Clock;8;1406.449
0;13823516;0;amdcpu;0;Clock;4;1406.449
0;13823516;0;amdcpu;0;Load;3;0
0;13823516;0;amdcpu;0;Clock;5;1406.449
0;13823516;0;amdcpu;0;Load;4;0
0;13823516;0;hdd;0;Load;0;36.19352
0;13823516;0;atigpu;0;Temperature;0;51
0;13823516;0;amdcpu;0;Load;0;0.5859375
0;13823516;0;lpc;it8728f;Control;2;0
0;13823516;0;amdcpu;0;Clock;1;1406.449
0;13823516;0;amdcpu;0;Clock;0;200.9212
0;13823516;0;atigpu;0;Voltage;0;0.95
0;13823516;0;lpc;it8728f;Temperature;2;26
0;13823516;0;lpc;it8728f;Control;1;0
0;13823516;0;lpc;it8728f;Voltage;5;1.212
0;13823516;0;ram;N/A;Data;1;5.688225
0;13823516;0;lpc;it8728f;Voltage;1;1.476
0;13823516;0;lpc;it8728f;Voltage;3;2.004
0;13823516;0;lpc;it8728f;Voltage;2;2.016
0;13823516;0;atigpu;0;Control;0;37
0;13823516;0;atigpu;0;Clock;0;300
0;13823516;0;atigpu;0;Load;0;0
0;13823516;0;amdcpu;0;Load;1;0
0;13823516;0;lpc;it8728f;Temperature;0;33
0;13823516;0;lpc;it8728f;Temperature;1;47
0;13823516;0;lpc;it8728f;Fan;0;4383.117
