id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;13801383;0;atigpu;0;Clock;1;150
0;13801383;0;amdcpu;0;Clock;2;1406.448
0;13801383;0;ram;N/A;Load;0;35.73318
0;13801383;0;amdcpu;0;Clock;3;1406.448
0;13801383;0;amdcpu;0;Load;2;3.125
0;13801383;0;ram;N/A;Data;0;2.846046
0;13801383;0;lpc;it8728f;Voltage;7;3.264
0;13801383;0;lpc;it8728f;Voltage;8;3.264
0;13801383;0;hdd;0;Temperature;0;33
0;13801383;0;amdcpu;0;Load;7;0
0;13801383;0;lpc;it8728f;Control;0;0
0;13801383;0;amdcpu;0;Load;8;3.125
0;13801383;0;amdcpu;0;Clock;8;1406.448
0;13801383;0;amdcpu;0;Clock;4;1406.448
0;13801383;0;amdcpu;0;Load;3;0
0;13801383;0;amdcpu;0;Clock;5;1406.448
0;13801383;0;amdcpu;0;Load;4;1.5625
0;13801383;0;hdd;0;Load;0;36.18181
0;13801383;0;atigpu;0;Temperature;0;57
0;13801383;0;amdcpu;0;Load;0;0.9765625
0;13801383;0;lpc;it8728f;Control;2;0
0;13801383;0;amdcpu;0;Clock;1;1406.448
0;13801383;0;amdcpu;0;Clock;0;200.9212
0;13801383;0;atigpu;0;Voltage;0;0.95
0;13801383;0;lpc;it8728f;Temperature;2;34
0;13801383;0;lpc;it8728f;Control;1;0
0;13801383;0;lpc;it8728f;Voltage;5;1.212
0;13801383;0;ram;N/A;Data;1;5.118671
0;13801383;0;lpc;it8728f;Voltage;1;1.476
0;13801383;0;lpc;it8728f;Voltage;3;2.004
0;13801383;0;lpc;it8728f;Voltage;2;2.016
0;13801383;0;atigpu;0;Control;0;39
0;13801383;0;atigpu;0;Clock;0;300
0;13801383;0;atigpu;0;Load;0;0
0;13801383;0;amdcpu;0;Load;1;0
0;13801383;0;lpc;it8728f;Temperature;0;34
0;13801383;0;lpc;it8728f;Temperature;1;38
0;13801383;0;lpc;it8728f;Fan;0;4720.28
0;13801383;0;lpc;it8728f;Fan;2;978.2609
0;13801383;0;amdcpu;0;Clock;6;1406.448
0;13801383;0;amdcpu;0;Temperature;0;34.5
0;13801383;0;lpc;it8728f;Voltage;6;2.232
0;13801383;0;amdcpu;0;Load;5;0
0;13801383;0;amdcpu;0;Clock;7;1406.448
0;13801383;0;amdcpu;0;Load;6;0
0;13801383;0;lpc;it8728f;Voltage;0;0.924
0;13801383;0;atigpu;0;Fan;0;1833
0;13801383;0;lpc;it8728f;Voltage;4;1.992
1;1032771512;33;atigpu;0;Clock;1;1250
1;1032771512;33;amdcpu;0;Clock;2;1406.45
1;1032771512;33;ram;N/A;Load;0;36.25891
1;1032771512;33;amdcpu;0;Clock;3;1406.45
1;1032771512;33;amdcpu;0;Load;2;7.692307
1;1032771512;33;ram;N/A;Data;0;2.88792
1;1032771512;33;lpc;it8728f;Voltage;7;3.264
1;1032771512;33;lpc;it8728f;Voltage;8;3.264
1;1032771512;33;hdd;0;Temperature;0;33
1;1032771512;33;amdcpu;0;Load;7;0
1;1032771512;33;lpc;it8728f;Control;0;0
1;1032771512;33;amdcpu;0;Load;8;3.076923
1;1032771512;33;amdcpu;0;Clock;8;1406.45
1;1032771512;33;amdcpu;0;Clock;4;1406.45
1;1032771512;33;amdcpu;0;Load;3;18.75
1;1032771512;33;amdcpu;0;Clock;5;1406.45
1;1032771512;33;amdcpu;0;Load;4;3.076923
1;1032771512;33;hdd;0;Load;0;36.18181
1;1032771512;33;atigpu;0;Temperature;0;59
1;1032771512;33;amdcpu;0;Load;0;5.80529
1;1032771512;33;lpc;it8728f;Control;2;0
1;1032771512;33;amdcpu;0;Clock;1;1406.45
1;1032771512;33;amdcpu;0;Clock;0;200.9214
1;1032771512;33;atigpu;0;Voltage;0;1.169
