id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;14204444;0;atigpu;0;Clock;1;150
0;14204444;0;amdcpu;0;Clock;2;1406.449
0;14204444;0;ram;N/A;Load;0;35.84209
0;14204444;0;amdcpu;0;Clock;3;1406.449
0;14204444;0;amdcpu;0;Load;2;1.5625
0;14204444;0;ram;N/A;Data;0;2.854721
0;14204444;0;lpc;it8728f;Voltage;7;3.264
0;14204444;0;lpc;it8728f;Voltage;8;3.264
0;14204444;0;hdd;0;Temperature;0;33
0;14204444;0;amdcpu;0;Load;7;0
0;14204444;0;lpc;it8728f;Control;0;0
0;14204444;0;amdcpu;0;Load;8;3.125
0;14204444;0;amdcpu;0;Clock;8;1406.449
0;14204444;0;amdcpu;0;Clock;4;1406.449
0;14204444;0;amdcpu;0;Load;3;0
0;14204444;0;amdcpu;0;Clock;5;1406.449
0;14204444;0;amdcpu;0;Load;4;0
0;14204444;0;hdd;0;Load;0;36.1815
0;14204444;0;atigpu;0;Temperature;0;56
0;14204444;0;amdcpu;0;Load;0;0.5859375
0;14204444;0;lpc;it8728f;Control;2;0
0;14204444;0;amdcpu;0;Clock;1;1406.449
0;14204444;0;amdcpu;0;Clock;0;200.9213
0;14204444;0;atigpu;0;Voltage;0;0.95
0;14204444;0;lpc;it8728f;Temperature;2;27
0;14204444;0;lpc;it8728f;Control;1;0
0;14204444;0;lpc;it8728f;Voltage;5;1.224
0;14204444;0;ram;N/A;Data;1;5.109997
0;14204444;0;lpc;it8728f;Voltage;1;1.476
0;14204444;0;lpc;it8728f;Voltage;3;2.004
0;14204444;0;lpc;it8728f;Voltage;2;2.004
0;14204444;0;atigpu;0;Control;0;42
0;14204444;0;atigpu;0;Clock;0;300
0;14204444;0;atigpu;0;Load;0;0
0;14204444;0;amdcpu;0;Load;1;0
0;14204444;0;lpc;it8728f;Temperature;0;34
0;14204444;0;lpc;it8728f;Temperature;1;47
0;14204444;0;lpc;it8728f;Fan;0;4963.235
0;14204444;0;lpc;it8728f;Fan;2;981.1047
0;14204444;0;amdcpu;0;Clock;6;1406.449
0;14204444;0;amdcpu;0;Temperature;0;27.375
0;14204444;0;lpc;it8728f;Voltage;6;2.232
0;14204444;0;amdcpu;0;Load;5;0
0;14204444;0;amdcpu;0;Clock;7;1406.449
0;14204444;0;amdcpu;0;Load;6;0
0;14204444;0;lpc;it8728f;Voltage;0;0.924
0;14204444;0;atigpu;0;Fan;0;1932
0;14204444;0;lpc;it8728f;Voltage;4;1.992
1;1005462018;105;atigpu;0;Clock;1;1250
1;1005462018;105;amdcpu;0;Clock;2;3717.043
1;1005462018;105;ram;N/A;Load;0;36.54131
1;1005462018;105;amdcpu;0;Clock;3;3717.043
1;1005462018;105;amdcpu;0;Load;2;12.5
1;1005462018;105;ram;N/A;Data;0;2.910412
1;1005462018;105;lpc;it8728f;Voltage;7;3.264
1;1005462018;105;lpc;it8728f;Voltage;8;3.264
1;1005462018;105;hdd;0;Temperature;0;33
1;1005462018;105;amdcpu;0;Load;7;0
1;1005462018;105;lpc;it8728f;Control;0;0
1;1005462018;105;amdcpu;0;Load;8;3.076923
1;1005462018;105;amdcpu;0;Clock;8;1406.449
1;1005462018;105;amdcpu;0;Clock;4;3717.043
1;1005462018;105;amdcpu;0;Load;3;16.66667
1;1005462018;105;amdcpu;0;Clock;5;3717.043
1;1005462018;105;amdcpu;0;Load;4;10.76923
1;1005462018;105;hdd;0;Load;0;36.1815
1;1005462018;105;atigpu;0;Temperature;0;58
1;1005462018;105;amdcpu;0;Load;0;8.460176
1;1005462018;105;lpc;it8728f;Control;2;0
1;1005462018;105;amdcpu;0;Clock;1;3717.043
1;1005462018;105;amdcpu;0;Clock;0;200.9212
