id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;14709728;0;atigpu;0;Clock;1;150
0;14709728;0;amdcpu;0;Clock;2;1406.449
0;14709728;0;ram;N/A;Load;0;36.32271
0;14709728;0;amdcpu;0;Clock;3;1406.449
0;14709728;0;amdcpu;0;Load;2;0
0;14709728;0;ram;N/A;Data;0;2.893002
0;14709728;0;lpc;it8728f;Voltage;7;3.264
0;14709728;0;lpc;it8728f;Voltage;8;3.264
0;14709728;0;hdd;0;Temperature;0;34
0;14709728;0;amdcpu;0;Load;7;0
0;14709728;0;lpc;it8728f;Control;0;0
0;14709728;0;amdcpu;0;Load;8;3.125
0;14709728;0;amdcpu;0;Clock;8;1406.449
0;14709728;0;amdcpu;0;Clock;4;1406.449
0;14709728;0;amdcpu;0;Load;3;0
0;14709728;0;amdcpu;0;Clock;5;1406.449
0;14709728;0;amdcpu;0;Load;4;0
0;14709728;0;hdd;0;Load;0;36.18319
0;14709728;0;atigpu;0;Temperature;0;60
0;14709728;0;amdcpu;0;Load;0;0.78125
0;14709728;0;lpc;it8728f;Control;2;0
0;14709728;0;amdcpu;0;Clock;1;1406.449
0;14709728;0;amdcpu;0;Clock;0;200.9213
0;14709728;0;atigpu;0;Voltage;0;0.95
0;14709728;0;lpc;it8728f;Temperature;2;22
0;14709728;0;lpc;it8728f;Control;1;0
0;14709728;0;lpc;it8728f;Voltage;5;1.212
0;14709728;0;ram;N/A;Data;1;5.071716
0;14709728;0;lpc;it8728f;Voltage;1;1.476
0;14709728;0;lpc;it8728f;Voltage;3;1.992
0;14709728;0;lpc;it8728f;Voltage;2;2.016
0;14709728;0;atigpu;0;Control;0;41
0;14709728;0;atigpu;0;Clock;0;300
0;14709728;0;atigpu;0;Load;0;0
0;14709728;0;amdcpu;0;Load;1;3.125
0;14709728;0;lpc;it8728f;Temperature;0;34
0;14709728;0;lpc;it8728f;Temperature;1;43
0;14709728;0;lpc;it8728f;Fan;0;4354.839
0;14709728;0;lpc;it8728f;Fan;2;976.8452
0;14709728;0;amdcpu;0;Clock;6;1406.449
0;14709728;0;amdcpu;0;Temperature;0;22.625
0;14709728;0;lpc;it8728f;Voltage;6;2.232
0;14709728;0;amdcpu;0;Load;5;0
0;14709728;0;amdcpu;0;Clock;7;1406.449
0;14709728;0;amdcpu;0;Load;6;0
0;14709728;0;lpc;it8728f;Voltage;0;0.924
0;14709728;0;atigpu;0;Fan;0;1931
0;14709728;0;lpc;it8728f;Voltage;4;1.992
1;1198506049;2;atigpu;0;Clock;1;1250
1;1198506049;2;amdcpu;0;Clock;2;4018.427
1;1198506049;2;ram;N/A;Load;0;36.89626
1;1198506049;2;amdcpu;0;Clock;3;4018.427
1;1198506049;2;amdcpu;0;Load;2;7.692307
1;1198506049;2;ram;N/A;Data;0;2.938683
1;1198506049;2;lpc;it8728f;Voltage;7;3.264
1;1198506049;2;lpc;it8728f;Voltage;8;3.264
1;1198506049;2;hdd;0;Temperature;0;34
1;1198506049;2;amdcpu;0;Load;7;0
1;1198506049;2;lpc;it8728f;Control;0;0
1;1198506049;2;amdcpu;0;Load;8;3.125
1;1198506049;2;amdcpu;0;Clock;8;4018.427
1;1198506049;2;amdcpu;0;Clock;4;4018.427
1;1198506049;2;amdcpu;0;Load;3;22.72728
1;1198506049;2;amdcpu;0;Clock;5;4018.427
1;1198506049;2;amdcpu;0;Load;4;7.692307
1;1198506049;2;hdd;0;Load;0;36.18319
1;1198506049;2;atigpu;0;Temperature;0;62
1;1198506049;2;amdcpu;0;Load;0;6.693071
1;1198506049;2;lpc;it8728f;Control;2;0
1;1198506049;2;amdcpu;0;Clock;1;4018.427
1;1198506049;2;amdcpu;0;Clock;0;200.9214
1;1198506049;2;atigpu;0;Voltage;0;1.169
1;1198506049;2;lpc;it8728f;Temperature;2;35
1;1198506049;2;lpc;it8728f;Control;1;0
1;1198506049;2;lpc;it8728f;Voltage;5;1.212
1;1198506049;2;ram;N/A;Data;1;5.026035
1;1198506049;2;lpc;it8728f;Voltage;1;1.476
1;1198506049;2;lpc;it8728f;Voltage;3;2.004
1;1198506049;2;lpc;it8728f;Voltage;2;2.004
1;1198506049;2;atigpu;0;Control;0;43
1;1198506049;2;atigpu;0;Clock;0;940
1;1198506049;2;atigpu;0;Load;0;64
1;1198506049;2;amdcpu;0;Load;1;10.76923
1;1198506049;2;lpc;it8728f;Temperature;0;34
1;1198506049;2;lpc;it8728f;Temperature;1;43
