id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;5714594;0;lpc;nct6791d;Fan;0;929
0;5714594;0;lpc;nct6791d;Voltage;9;1,008
0;5714594;0;lpc;nct6791d;Voltage;1;1,016
0;5714594;0;nvidiagpu;0;Load;3;8,66394
0;5714594;0;lpc;nct6791d;Voltage;5;2,008
0;5714594;0;hdd;0;Load;0;66,73555
0;5714594;0;intelcpu;0;Temperature;1;50
0;5714594;0;lpc;nct6791d;Control;3;78,82353
0;5714594;0;nvidiagpu;0;Clock;0;139
0;5714594;0;intelcpu;0;Power;2;0
0;5714594;0;intelcpu;0;Clock;1;799,5369
0;5714594;0;intelcpu;0;Load;1;2,331734
0;5714594;0;nvidiagpu;0;Load;1;3
0;5714594;0;ram;N/A;Load;0;32,45663
0;5714594;0;lpc;nct6791d;Fan;1;1127
0;5714594;0;nvidiagpu;0;SmallData;2;266,1563
0;5714594;0;lpc;nct6791d;Voltage;3;3,376
0;5714594;0;hdd;0;Temperature;0;29
0;5714594;0;lpc;nct6791d;Control;0;78,43137
0;5714594;0;lpc;nct6791d;Voltage;7;3,456
0;5714594;0;hdd;1;Temperature;0;29
0;5714594;0;nvidiagpu;0;Temperature;0;56
0;5714594;0;intelcpu;0;Power;0;6,123861
0;5714594;0;intelcpu;0;Temperature;3;53
0;5714594;0;lpc;nct6791d;Control;5;100
0;5714594;0;nvidiagpu;0;Clock;2;278
0;5714594;0;intelcpu;0;Clock;0;99,94211
0;5714594;0;intelcpu;0;Clock;3;799,5369
0;5714594;0;intelcpu;0;Load;3;0
0;5714594;0;nvidiagpu;0;Control;0;0
0;5714594;0;ram;N/A;Data;1;5,36269
0;5714594;0;lpc;nct6791d;Fan;3;1053
0;5714594;0;lpc;nct6791d;Voltage;14;0,256
0;5714594;0;lpc;nct6791d;Temperature;3;84
0;5714594;0;intelcpu;0;Load;0;0,9735584
0;5714594;0;lpc;nct6791d;Voltage;12;8,800001E-02
0;5714594;0;lpc;nct6791d;Voltage;13;0,232
0;5714594;0;lpc;nct6791d;Temperature;1;51,5
0;5714594;0;lpc;nct6791d;Voltage;2;3,376
0;5714594;0;lpc;nct6791d;Voltage;11;1
0;5714594;0;nvidiagpu;0;Load;0;0
0;5714594;0;lpc;nct6791d;Voltage;0;0,8880001
0;5714594;0;nvidiagpu;0;SmallData;1;2805,844
0;5714594;0;lpc;nct6791d;Voltage;4;1
0;5714594;0;hdd;0;Data;0;-122,2823
0;5714594;0;intelcpu;0;Temperature;0;55
0;5714594;0;lpc;nct6791d;Control;2;78,82353
0;5714594;0;nvidiagpu;0;Fan;0;0
0;5714594;0;intelcpu;0;Power;1;0,207121
0;5714594;0;intelcpu;0;Temperature;4;55
0;5714594;0;intelcpu;0;Load;4;1,5625
0;5714594;0;hdd;1;Load;0;82,90598
0;5714594;0;nvidiagpu;0;SmallData;3;3072
0;5714594;0;lpc;nct6791d;Temperature;5;26
0;5714594;0;lpc;nct6791d;Voltage;8;3,312
0;5714594;0;lpc;nct6791d;Fan;2;939
0;5714594;0;lpc;nct6791d;Voltage;6;0,04
0;5714594;0;intelcpu;0;Clock;4;799,5369
0;5714594;0;intelcpu;0;Temperature;2;50
0;5714594;0;lpc;nct6791d;Control;4;78,82353
0;5714594;0;nvidiagpu;0;Clock;1;405
0;5714594;0;intelcpu;0;Power;3;0,8073081
0;5714594;0;intelcpu;0;Clock;2;799,5369
0;5714594;0;intelcpu;0;Load;2;0
0;5714594;0;nvidiagpu;0;Load;2;0
0;5714594;0;ram;N/A;Data;0;2,576935
0;5714594;0;lpc;nct6791d;Temperature;0;49
0;5714594;0;lpc;nct6791d;Control;1;51,76471
0;5714594;0;lpc;nct6791d;Temperature;2;32
0;5714594;0;lpc;nct6791d;Temperature;6;66
1;1002352759;38;lpc;nct6791d;Fan;0;927
1;1002352759;38;lpc;nct6791d;Voltage;9;1,008
1;1002352759;38;lpc;nct6791d;Voltage;1;1,008
1;1002352759;38;nvidiagpu;0;Load;3;10,355
1;1002352759;38;lpc;nct6791d;Voltage;5;2,008
1;1002352759;38;hdd;0;Load;0;66,73555
1;1002352759;38;intelcpu;0;Temperature;1;60
1;1002352759;38;lpc;nct6791d;Control;3;80,78432
1;1002352759;38;nvidiagpu;0;Clock;0;1556,5
1;1002352759;38;intelcpu;0;Power;2;0
1;1002352759;38;intelcpu;0;Clock;1;3697,861
1;1002352759;38;intelcpu;0;Load;1;22,65625
1;1002352759;38;nvidiagpu;0;Load;1;0
1;1002352759;38;ram;N/A;Load;0;34,44277
1;1002352759;38;lpc;nct6791d;Fan;1;1167
1;1002352759;38;nvidiagpu;0;SmallData;2;318,1055
1;1002352759;38;lpc;nct6791d;Voltage;3;3,376
1;1002352759;38;hdd;0;Temperature;0;29
1;1002352759;38;lpc;nct6791d;Control;0;80,39216
1;1002352759;38;lpc;nct6791d;Voltage;7;3,456
1;1002352759;38;hdd;1;Temperature;0;29
1;1002352759;38;nvidiagpu;0;Temperature;0;57
1;1002352759;38;intelcpu;0;Power;0;23,5551
1;1002352759;38;intelcpu;0;Temperature;3;61
1;1002352759;38;lpc;nct6791d;Control;5;100
1;1002352759;38;nvidiagpu;0;Clock;2;3113
1;1002352759;38;intelcpu;0;Clock;0;99,94218
1;1002352759;38;intelcpu;0;Clock;3;3697,861
1;1002352759;38;intelcpu;0;Load;3;21,875
1;1002352759;38;nvidiagpu;0;Control;0;0
1;1002352759;38;ram;N/A;Data;1;5,204998
1;1002352759;38;lpc;nct6791d;Fan;3;1044
1;1002352759;38;lpc;nct6791d;Voltage;14;0,024
1;1002352759;38;lpc;nct6791d;Temperature;3;55
1;1002352759;38;intelcpu;0;Load;0;23,04688
1;1002352759;38;lpc;nct6791d;Voltage;12;0,568
1;1002352759;38;lpc;nct6791d;Voltage;13;0,032
1;1002352759;38;lpc;nct6791d;Temperature;1;51,5
1;1002352759;38;lpc;nct6791d;Voltage;2;3,376
1;1002352759;38;lpc;nct6791d;Voltage;11;1
1;1002352759;38;nvidiagpu;0;Load;0;7
1;1002352759;38;lpc;nct6791d;Voltage;0;0,872
1;1002352759;38;nvidiagpu;0;SmallData;1;2753,895
1;1002352759;38;lpc;nct6791d;Voltage;4;1
1;1002352759;38;hdd;0;Data;0;-122,2823
1;1002352759;38;intelcpu;0;Temperature;0;63
1;1002352759;38;lpc;nct6791d;Control;2;80,78432
1;1002352759;38;nvidiagpu;0;Fan;0;0
1;1002352759;38;intelcpu;0;Power;1;14,05514
1;1002352759;38;intelcpu;0;Temperature;4;63
1;1002352759;38;intelcpu;0;Load;4;20,3125
1;1002352759;38;hdd;1;Load;0;82,90598
1;1002352759;38;nvidiagpu;0;SmallData;3;3072
1;1002352759;38;lpc;nct6791d;Temperature;5;26
1;1002352759;38;lpc;nct6791d;Voltage;8;3,312
1;1002352759;38;lpc;nct6791d;Fan;2;946
1;1002352759;38;lpc;nct6791d;Voltage;6;0,328
1;1002352759;38;intelcpu;0;Clock;4;3697,861
1;1002352759;38;intelcpu;0;Temperature;2;60
1;1002352759;38;lpc;nct6791d;Control;4;80,78432
1;1002352759;38;nvidiagpu;0;Clock;1;4006,8
1;1002352759;38;intelcpu;0;Power;3;1,457903
1;1002352759;38;intelcpu;0;Clock;2;3697,861
1;1002352759;38;intelcpu;0;Load;2;27,34375
1;1002352759;38;nvidiagpu;0;Load;2;0
1;1002352759;38;ram;N/A;Data;0;2,734627
1;1002352759;38;lpc;nct6791d;Temperature;0;54,5
1;1002352759;38;lpc;nct6791d;Control;1;52,94118
1;1002352759;38;lpc;nct6791d;Temperature;2;32
1;1002352759;38;lpc;nct6791d;Temperature;6;54
2;2004253816;39;lpc;nct6791d;Fan;0;964
2;2004253816;39;lpc;nct6791d;Voltage;9;1,008
2;2004253816;39;lpc;nct6791d;Voltage;1;1,008
2;2004253816;39;nvidiagpu;0;Load;3;10,355
2;2004253816;39;lpc;nct6791d;Voltage;5;2,008
2;2004253816;39;hdd;0;Load;0;66,73555
2;2004253816;39;intelcpu;0;Temperature;1;62
2;2004253816;39;lpc;nct6791d;Control;3;87,45098
2;2004253816;39;nvidiagpu;0;Clock;0;1556,5
2;2004253816;39;intelcpu;0;Power;2;0
2;2004253816;39;intelcpu;0;Clock;1;3697,858
2;2004253816;39;intelcpu;0;Load;1;60,15625
2;2004253816;39;nvidiagpu;0;Load;1;0
2;2004253816;39;ram;N/A;Load;0;34,45949
2;2004253816;39;lpc;nct6791d;Fan;1;1097
2;2004253816;39;nvidiagpu;0;SmallData;2;318,1055
2;2004253816;39;lpc;nct6791d;Voltage;3;3,376
2;2004253816;39;hdd;0;Temperature;0;29
2;2004253816;39;lpc;nct6791d;Control;0;87,05882
2;2004253816;39;lpc;nct6791d;Voltage;7;3,456
2;2004253816;39;hdd;1;Temperature;0;29
2;2004253816;39;nvidiagpu;0;Temperature;0;57
2;2004253816;39;intelcpu;0;Power;0;45,69506
2;2004253816;39;intelcpu;0;Temperature;3;62
2;2004253816;39;lpc;nct6791d;Control;5;100
2;2004253816;39;nvidiagpu;0;Clock;2;3113
2;2004253816;39;intelcpu;0;Clock;0;99,9421
2;2004253816;39;intelcpu;0;Clock;3;3697,858
2;2004253816;39;intelcpu;0;Load;3;67,96875
2;2004253816;39;nvidiagpu;0;Control;0;0
2;2004253816;39;ram;N/A;Data;1;5,203671
2;2004253816;39;lpc;nct6791d;Fan;3;1036
2;2004253816;39;lpc;nct6791d;Voltage;14;0,536
2;2004253816;39;lpc;nct6791d;Temperature;3;55
2;2004253816;39;intelcpu;0;Load;0;67,57813
2;2004253816;39;lpc;nct6791d;Voltage;12;0,536
2;2004253816;39;lpc;nct6791d;Voltage;13;0,528
2;2004253816;39;lpc;nct6791d;Temperature;1;51
2;2004253816;39;lpc;nct6791d;Voltage;2;3,376
2;2004253816;39;lpc;nct6791d;Voltage;11;1
2;2004253816;39;nvidiagpu;0;Load;0;21
2;2004253816;39;lpc;nct6791d;Voltage;0;0,8800001
2;2004253816;39;nvidiagpu;0;SmallData;1;2753,895
2;2004253816;39;lpc;nct6791d;Voltage;4;1
2;2004253816;39;hdd;0;Data;0;-122,2823
2;2004253816;39;intelcpu;0;Temperature;0;65
2;2004253816;39;lpc;nct6791d;Control;2;87,45098
2;2004253816;39;nvidiagpu;0;Fan;0;0
2;2004253816;39;intelcpu;0;Power;1;34,75377
2;2004253816;39;intelcpu;0;Temperature;4;65
2;2004253816;39;intelcpu;0;Load;4;68,75
2;2004253816;39;hdd;1;Load;0;82,90598
2;2004253816;39;nvidiagpu;0;SmallData;3;3072
2;2004253816;39;lpc;nct6791d;Temperature;5;26
2;2004253816;39;lpc;nct6791d;Voltage;8;3,312
2;2004253816;39;lpc;nct6791d;Fan;2;990
2;2004253816;39;lpc;nct6791d;Voltage;6;0,536
2;2004253816;39;intelcpu;0;Clock;4;3697,858
2;2004253816;39;intelcpu;0;Temperature;2;62
2;2004253816;39;lpc;nct6791d;Control;4;87,45098
2;2004253816;39;nvidiagpu;0;Clock;1;4006,8
2;2004253816;39;intelcpu;0;Power;3;2,619492
2;2004253816;39;intelcpu;0;Clock;2;3697,858
2;2004253816;39;intelcpu;0;Load;2;73,4375
2;2004253816;39;nvidiagpu;0;Load;2;0
2;2004253816;39;ram;N/A;Data;0;2,735954
2;2004253816;39;lpc;nct6791d;Temperature;0;59,5
2;2004253816;39;lpc;nct6791d;Control;1;54,5098
2;2004253816;39;lpc;nct6791d;Temperature;2;32
2;2004253816;39;lpc;nct6791d;Temperature;6;55
3;3003540701;39;lpc;nct6791d;Fan;0;1003
3;3003540701;39;lpc;nct6791d;Voltage;9;1,008
3;3003540701;39;lpc;nct6791d;Voltage;1;1,008
3;3003540701;39;nvidiagpu;0;Load;3;10,355
3;3003540701;39;lpc;nct6791d;Voltage;5;2,008
3;3003540701;39;hdd;0;Load;0;66,73555
3;3003540701;39;intelcpu;0;Temperature;1;63
3;3003540701;39;lpc;nct6791d;Control;3;89,80392
3;3003540701;39;nvidiagpu;0;Clock;0;1556,5
3;3003540701;39;intelcpu;0;Power;2;0
3;3003540701;39;intelcpu;0;Clock;1;3697,861
3;3003540701;39;intelcpu;0;Load;1;62,5
3;3003540701;39;nvidiagpu;0;Load;1;1
3;3003540701;39;ram;N/A;Load;0;34,46645
3;3003540701;39;lpc;nct6791d;Fan;1;1057
3;3003540701;39;nvidiagpu;0;SmallData;2;318,1055
3;3003540701;39;lpc;nct6791d;Voltage;3;3,376
3;3003540701;39;hdd;0;Temperature;0;29
3;3003540701;39;lpc;nct6791d;Control;0;89,80392
3;3003540701;39;lpc;nct6791d;Voltage;7;3,456
3;3003540701;39;hdd;1;Temperature;0;29
3;3003540701;39;nvidiagpu;0;Temperature;0;57
3;3003540701;39;intelcpu;0;Power;0;45,8656
3;3003540701;39;intelcpu;0;Temperature;3;62
3;3003540701;39;lpc;nct6791d;Control;5;100
3;3003540701;39;nvidiagpu;0;Clock;2;3113
3;3003540701;39;intelcpu;0;Clock;0;99,94218
3;3003540701;39;intelcpu;0;Clock;3;3697,861
3;3003540701;39;intelcpu;0;Load;3;65,625
3;3003540701;39;nvidiagpu;0;Control;0;0
3;3003540701;39;ram;N/A;Data;1;5,203117
3;3003540701;39;lpc;nct6791d;Fan;3;1108
3;3003540701;39;lpc;nct6791d;Voltage;14;0,536
3;3003540701;39;lpc;nct6791d;Temperature;3;55
3;3003540701;39;intelcpu;0;Load;0;68,16406
3;3003540701;39;lpc;nct6791d;Voltage;12;0,536
3;3003540701;39;lpc;nct6791d;Voltage;13;0,528
3;3003540701;39;lpc;nct6791d;Temperature;1;51
3;3003540701;39;lpc;nct6791d;Voltage;2;3,376
3;3003540701;39;lpc;nct6791d;Voltage;11;1
3;3003540701;39;nvidiagpu;0;Load;0;26
3;3003540701;39;lpc;nct6791d;Voltage;0;0,872
3;3003540701;39;nvidiagpu;0;SmallData;1;2753,895
3;3003540701;39;lpc;nct6791d;Voltage;4;1
3;3003540701;39;hdd;0;Data;0;-122,2823
3;3003540701;39;intelcpu;0;Temperature;0;66
3;3003540701;39;lpc;nct6791d;Control;2;89,80392
3;3003540701;39;nvidiagpu;0;Fan;0;0
3;3003540701;39;intelcpu;0;Power;1;34,87476
3;3003540701;39;intelcpu;0;Temperature;4;64
3;3003540701;39;intelcpu;0;Load;4;69,53125
3;3003540701;39;hdd;1;Load;0;82,90598
3;3003540701;39;nvidiagpu;0;SmallData;3;3072
3;3003540701;39;lpc;nct6791d;Temperature;5;26
3;3003540701;39;lpc;nct6791d;Voltage;8;3,312
3;3003540701;39;lpc;nct6791d;Fan;2;1019
3;3003540701;39;lpc;nct6791d;Voltage;6;0,536
3;3003540701;39;intelcpu;0;Clock;4;3697,861
3;3003540701;39;intelcpu;0;Temperature;2;63
3;3003540701;39;lpc;nct6791d;Control;4;89,80392
3;3003540701;39;nvidiagpu;0;Clock;1;4006,8
3;3003540701;39;intelcpu;0;Power;3;2,64926
3;3003540701;39;intelcpu;0;Clock;2;3697,861
3;3003540701;39;intelcpu;0;Load;2;75
3;3003540701;39;nvidiagpu;0;Load;2;0
3;3003540701;39;ram;N/A;Data;0;2,736507
3;3003540701;39;lpc;nct6791d;Temperature;0;60
3;3003540701;39;lpc;nct6791d;Control;1;61,17647
3;3003540701;39;lpc;nct6791d;Temperature;2;32
3;3003540701;39;lpc;nct6791d;Temperature;6;55
4;4018406372;40;lpc;nct6791d;Fan;0;1045
4;4018406372;40;lpc;nct6791d;Voltage;9;1,008
4;4018406372;40;lpc;nct6791d;Voltage;1;1,008
4;4018406372;40;nvidiagpu;0;Load;3;10,355
4;4018406372;40;lpc;nct6791d;Voltage;5;2,008
4;4018406372;40;hdd;0;Load;0;66,73555
4;4018406372;40;intelcpu;0;Temperature;1;64
4;4018406372;40;lpc;nct6791d;Control;3;88,62745
4;4018406372;40;nvidiagpu;0;Clock;0;1189,5
4;4018406372;40;intelcpu;0;Power;2;0
4;4018406372;40;intelcpu;0;Clock;1;3697,86
4;4018406372;40;intelcpu;0;Load;1;60,15625
4;4018406372;40;nvidiagpu;0;Load;1;1
4;4018406372;40;ram;N/A;Load;0;34,46107
4;4018406372;40;lpc;nct6791d;Fan;1;1120
4;4018406372;40;nvidiagpu;0;SmallData;2;318,1055
4;4018406372;40;lpc;nct6791d;Voltage;3;3,376
4;4018406372;40;hdd;0;Temperature;0;29
4;4018406372;40;lpc;nct6791d;Control;0;88,62745
4;4018406372;40;lpc;nct6791d;Voltage;7;3,456
4;4018406372;40;hdd;1;Temperature;0;29
4;4018406372;40;nvidiagpu;0;Temperature;0;57
4;4018406372;40;intelcpu;0;Power;0;46,09068
4;4018406372;40;intelcpu;0;Temperature;3;64
4;4018406372;40;lpc;nct6791d;Control;5;100
4;4018406372;40;nvidiagpu;0;Clock;2;2379
4;4018406372;40;intelcpu;0;Clock;0;99,94216
4;4018406372;40;intelcpu;0;Clock;3;3697,86
4;4018406372;40;intelcpu;0;Load;3;67,1875
4;4018406372;40;nvidiagpu;0;Control;0;0
4;4018406372;40;ram;N/A;Data;1;5,203545
4;4018406372;40;lpc;nct6791d;Fan;3;1119
4;4018406372;40;lpc;nct6791d;Voltage;14;0,536
4;4018406372;40;lpc;nct6791d;Temperature;3;55
4;4018406372;40;intelcpu;0;Load;0;66,99219
4;4018406372;40;lpc;nct6791d;Voltage;12;0,536
4;4018406372;40;lpc;nct6791d;Voltage;13;0,528
4;4018406372;40;lpc;nct6791d;Temperature;1;51
4;4018406372;40;lpc;nct6791d;Voltage;2;3,376
4;4018406372;40;lpc;nct6791d;Voltage;11;1
4;4018406372;40;nvidiagpu;0;Load;0;21
4;4018406372;40;lpc;nct6791d;Voltage;0;0,872
4;4018406372;40;nvidiagpu;0;SmallData;1;2753,895
4;4018406372;40;lpc;nct6791d;Voltage;4;1
4;4018406372;40;hdd;0;Data;0;-122,2823
4;4018406372;40;intelcpu;0;Temperature;0;65
