id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;6003236;0;lpc;nct6791d;Fan;1;1002
0;6003236;0;lpc;nct6791d;Voltage;9;1,008
0;6003236;0;lpc;nct6791d;Voltage;1;1,016
0;6003236;0;nvidiagpu;0;Load;3;8,566284
0;6003236;0;lpc;nct6791d;Voltage;5;2,008
0;6003236;0;hdd;0;Load;0;66,81702
0;6003236;0;intelcpu;0;Temperature;1;38
0;6003236;0;lpc;nct6791d;Control;3;66,66666
0;6003236;0;nvidiagpu;0;Clock;0;139
0;6003236;0;intelcpu;0;Power;2;0
0;6003236;0;intelcpu;0;Clock;1;799,5372
0;6003236;0;intelcpu;0;Load;1;1,5625
0;6003236;0;nvidiagpu;0;Load;1;3
0;6003236;0;ram;N/A;Load;0;30,38055
0;6003236;0;lpc;nct6791d;Fan;2;798
0;6003236;0;nvidiagpu;0;SmallData;2;263,1563
0;6003236;0;lpc;nct6791d;Voltage;3;3,376
0;6003236;0;hdd;0;Temperature;0;30
0;6003236;0;lpc;nct6791d;Control;0;66,66666
0;6003236;0;lpc;nct6791d;Voltage;7;3,456
0;6003236;0;hdd;1;Temperature;0;31
0;6003236;0;nvidiagpu;0;Temperature;0;56
0;6003236;0;intelcpu;0;Power;0;6,217048
0;6003236;0;intelcpu;0;Temperature;3;40
0;6003236;0;lpc;nct6791d;Control;5;100
0;6003236;0;nvidiagpu;0;Clock;2;278
0;6003236;0;intelcpu;0;Clock;0;99,94215
0;6003236;0;intelcpu;0;Clock;3;799,5372
0;6003236;0;intelcpu;0;Load;3;1,5625
0;6003236;0;nvidiagpu;0;Control;0;36
0;6003236;0;ram;N/A;Data;1;5,527523
0;6003236;0;lpc;nct6791d;Voltage;12;0,04
0;6003236;0;lpc;nct6791d;Temperature;0;37,5
0;6003236;0;lpc;nct6791d;Temperature;5;26
0;6003236;0;intelcpu;0;Load;0;1,5625
0;6003236;0;lpc;nct6791d;Voltage;13;0,136
0;6003236;0;lpc;nct6791d;Voltage;14;0,04
0;6003236;0;lpc;nct6791d;Temperature;2;35
0;6003236;0;lpc;nct6791d;Voltage;2;3,376
0;6003236;0;lpc;nct6791d;Voltage;11;1
0;6003236;0;nvidiagpu;0;Load;0;0
0;6003236;0;lpc;nct6791d;Voltage;0;0,8880001
0;6003236;0;nvidiagpu;0;SmallData;1;2808,844
0;6003236;0;lpc;nct6791d;Voltage;4;1
0;6003236;0;hdd;0;Data;0;-121,607
0;6003236;0;intelcpu;0;Temperature;0;44
