id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;6433858;0;lpc;nct6791d;Fan;0;921
0;6433858;0;lpc;nct6791d;Voltage;9;1,008
0;6433858;0;lpc;nct6791d;Voltage;1;1,016
0;6433858;0;nvidiagpu;0;Load;3;10,46677
0;6433858;0;lpc;nct6791d;Voltage;5;2,008
0;6433858;0;hdd;0;Load;0;66,94897
0;6433858;0;intelcpu;0;Temperature;1;48
0;6433858;0;lpc;nct6791d;Control;3;78,82353
0;6433858;0;nvidiagpu;0;Clock;0;139
0;6433858;0;intelcpu;0;Power;2;0
0;6433858;0;intelcpu;0;Clock;1;799,5374
0;6433858;0;intelcpu;0;Load;1;2,34375
0;6433858;0;nvidiagpu;0;Load;1;3
0;6433858;0;ram;N/A;Load;0;28,65449
0;6433858;0;lpc;nct6791d;Fan;1;1118
0;6433858;0;nvidiagpu;0;SmallData;2;321,5391
0;6433858;0;lpc;nct6791d;Voltage;3;3,376
0;6433858;0;hdd;0;Temperature;0;30
0;6433858;0;lpc;nct6791d;Control;0;78,82353
0;6433858;0;lpc;nct6791d;Voltage;7;3,456
0;6433858;0;hdd;1;Temperature;0;30
0;6433858;0;nvidiagpu;0;Temperature;0;55
0;6433858;0;intelcpu;0;Power;0;6,558829
0;6433858;0;intelcpu;0;Temperature;3;52
0;6433858;0;lpc;nct6791d;Control;5;100
0;6433858;0;nvidiagpu;0;Clock;2;278
0;6433858;0;intelcpu;0;Clock;0;99,94217
0;6433858;0;intelcpu;0;Clock;3;799,5374
0;6433858;0;intelcpu;0;Load;3;0
0;6433858;0;nvidiagpu;0;Control;0;12
0;6433858;0;ram;N/A;Data;1;5,664566
0;6433858;0;lpc;nct6791d;Fan;3;1031
0;6433858;0;lpc;nct6791d;Voltage;14;8,000001E-02
0;6433858;0;lpc;nct6791d;Temperature;3;81
0;6433858;0;intelcpu;0;Load;0;2,142429
0;6433858;0;lpc;nct6791d;Voltage;12;8,000001E-02
0;6433858;0;lpc;nct6791d;Voltage;13;0,04
0;6433858;0;lpc;nct6791d;Temperature;1;48,5
0;6433858;0;lpc;nct6791d;Voltage;2;3,376
0;6433858;0;lpc;nct6791d;Voltage;11;1
0;6433858;0;nvidiagpu;0;Load;0;0
0;6433858;0;lpc;nct6791d;Voltage;0;0,8880001
0;6433858;0;nvidiagpu;0;SmallData;1;2750,461
0;6433858;0;lpc;nct6791d;Voltage;4;1,008
0;6433858;0;hdd;0;Data;0;-115,3768
0;6433858;0;intelcpu;0;Temperature;0;53
0;6433858;0;lpc;nct6791d;Control;2;78,82353
0;6433858;0;nvidiagpu;0;Fan;0;595
0;6433858;0;intelcpu;0;Power;1;0,3587802
0;6433858;0;intelcpu;0;Temperature;4;55
0;6433858;0;intelcpu;0;Load;4;6,225962
0;6433858;0;hdd;1;Load;0;82,90601
0;6433858;0;nvidiagpu;0;SmallData;3;3072
0;6433858;0;lpc;nct6791d;Temperature;5;26
0;6433858;0;lpc;nct6791d;Voltage;8;3,312
0;6433858;0;lpc;nct6791d;Fan;2;921
0;6433858;0;lpc;nct6791d;Voltage;6;0,304
0;6433858;0;intelcpu;0;Clock;4;799,5374
0;6433858;0;intelcpu;0;Temperature;2;49
0;6433858;0;lpc;nct6791d;Control;4;78,82353
0;6433858;0;nvidiagpu;0;Clock;1;405
0;6433858;0;intelcpu;0;Power;3;0,8078648
0;6433858;0;intelcpu;0;Clock;2;799,5374
0;6433858;0;intelcpu;0;Load;2;0
0;6433858;0;nvidiagpu;0;Load;2;0
0;6433858;0;ram;N/A;Data;0;2,275059
0;6433858;0;lpc;nct6791d;Temperature;0;49
0;6433858;0;lpc;nct6791d;Control;1;51,76471
0;6433858;0;lpc;nct6791d;Temperature;2;33
0;6433858;0;lpc;nct6791d;Temperature;6;73
1;1002233313;293;lpc;nct6791d;Fan;0;944
1;1002233313;293;lpc;nct6791d;Voltage;9;1,008
1;1002233313;293;lpc;nct6791d;Voltage;1;1,008
1;1002233313;293;nvidiagpu;0;Load;3;11,05881
1;1002233313;293;lpc;nct6791d;Voltage;5;2,008
1;1002233313;293;hdd;0;Load;0;66,94897
1;1002233313;293;intelcpu;0;Temperature;1;59
1;1002233313;293;lpc;nct6791d;Control;3;82,35294
1;1002233313;293;nvidiagpu;0;Clock;0;1556,5
1;1002233313;293;intelcpu;0;Power;2;0
