id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;6329642;0;lpc;nct6791d;Fan;0;799
0;6329642;0;lpc;nct6791d;Voltage;9;1,008
0;6329642;0;lpc;nct6791d;Voltage;1;1,016
0;6329642;0;nvidiagpu;0;Load;3;5,953852
0;6329642;0;lpc;nct6791d;Voltage;5;2,008
0;6329642;0;hdd;0;Load;0;67,11856
0;6329642;0;intelcpu;0;Temperature;1;40
0;6329642;0;lpc;nct6791d;Control;3;67,84314
0;6329642;0;nvidiagpu;0;Clock;0;139
0;6329642;0;intelcpu;0;Power;2;0
0;6329642;0;intelcpu;0;Clock;1;799,537
0;6329642;0;intelcpu;0;Load;1;0
0;6329642;0;nvidiagpu;0;Load;1;3
0;6329642;0;ram;N/A;Load;0;26,35773
0;6329642;0;lpc;nct6791d;Fan;1;997
0;6329642;0;nvidiagpu;0;SmallData;2;182,9023
0;6329642;0;lpc;nct6791d;Voltage;3;3,376
0;6329642;0;hdd;0;Temperature;0;28
0;6329642;0;lpc;nct6791d;Control;0;67,84314
0;6329642;0;lpc;nct6791d;Voltage;7;3,456
0;6329642;0;hdd;1;Temperature;0;29
0;6329642;0;nvidiagpu;0;Temperature;0;54
0;6329642;0;intelcpu;0;Power;0;6,868933
0;6329642;0;intelcpu;0;Temperature;3;41
0;6329642;0;lpc;nct6791d;Control;5;100
0;6329642;0;nvidiagpu;0;Clock;2;278
0;6329642;0;intelcpu;0;Clock;0;99,94212
0;6329642;0;intelcpu;0;Clock;3;799,537
0;6329642;0;intelcpu;0;Load;3;0
0;6329642;0;nvidiagpu;0;Control;0;30
0;6329642;0;ram;N/A;Data;1;5,84692
0;6329642;0;lpc;nct6791d;Fan;3;944
0;6329642;0;lpc;nct6791d;Voltage;14;0,04
0;6329642;0;lpc;nct6791d;Temperature;3;83
0;6329642;0;intelcpu;0;Load;0;0,5859375
0;6329642;0;lpc;nct6791d;Voltage;12;0,128
0;6329642;0;lpc;nct6791d;Voltage;13;0,04
0;6329642;0;lpc;nct6791d;Temperature;1;38
0;6329642;0;lpc;nct6791d;Voltage;2;3,376
0;6329642;0;lpc;nct6791d;Voltage;11;1
0;6329642;0;nvidiagpu;0;Load;0;0
0;6329642;0;lpc;nct6791d;Voltage;0;0,8880001
0;6329642;0;nvidiagpu;0;SmallData;1;2889,098
0;6329642;0;lpc;nct6791d;Voltage;4;1,008
0;6329642;0;hdd;0;Data;0;-114,0703
0;6329642;0;intelcpu;0;Temperature;0;43
0;6329642;0;lpc;nct6791d;Control;2;67,84314
0;6329642;0;nvidiagpu;0;Fan;0;924
0;6329642;0;intelcpu;0;Power;1;0,2655081
0;6329642;0;intelcpu;0;Temperature;4;46
0;6329642;0;intelcpu;0;Load;4;2,34375
0;6329642;0;hdd;1;Load;0;82,90602
0;6329642;0;nvidiagpu;0;SmallData;3;3072
0;6329642;0;lpc;nct6791d;Temperature;5;26
0;6329642;0;lpc;nct6791d;Voltage;8;3,312
0;6329642;0;lpc;nct6791d;Fan;2;823
0;6329642;0;lpc;nct6791d;Voltage;6;0,04
0;6329642;0;intelcpu;0;Clock;4;799,537
0;6329642;0;intelcpu;0;Temperature;2;40
0;6329642;0;lpc;nct6791d;Control;4;67,84314
0;6329642;0;nvidiagpu;0;Clock;1;405
0;6329642;0;intelcpu;0;Power;3;0,8021359
0;6329642;0;intelcpu;0;Clock;2;799,537
0;6329642;0;intelcpu;0;Load;2;0
0;6329642;0;nvidiagpu;0;Load;2;0
0;6329642;0;ram;N/A;Data;0;2,092705
0;6329642;0;lpc;nct6791d;Temperature;0;38
0;6329642;0;lpc;nct6791d;Control;1;39,60785
0;6329642;0;lpc;nct6791d;Temperature;2;32
0;6329642;0;lpc;nct6791d;Temperature;6;110
1;1001817044;320;lpc;nct6791d;Fan;0;808
1;1001817044;320;lpc;nct6791d;Voltage;9;1,008
1;1001817044;320;lpc;nct6791d;Voltage;1;1,016
1;1001817044;320;nvidiagpu;0;Load;3;6,680171
1;1001817044;320;lpc;nct6791d;Voltage;5;2,008
1;1001817044;320;hdd;0;Load;0;67,11856
1;1001817044;320;intelcpu;0;Temperature;1;48
1;1001817044;320;lpc;nct6791d;Control;3;68,2353
1;1001817044;320;nvidiagpu;0;Clock;0;1556,5
1;1001817044;320;intelcpu;0;Power;2;0
1;1001817044;320;intelcpu;0;Clock;1;3797,802
1;1001817044;320;intelcpu;0;Load;1;4,6875
1;1001817044;320;nvidiagpu;0;Load;1;2
1;1001817044;320;ram;N/A;Load;0;26,83243
1;1001817044;320;lpc;nct6791d;Fan;1;976
1;1001817044;320;nvidiagpu;0;SmallData;2;205,2148
1;1001817044;320;lpc;nct6791d;Voltage;3;3,376
1;1001817044;320;hdd;0;Temperature;0;28
1;1001817044;320;lpc;nct6791d;Control;0;67,84314
1;1001817044;320;lpc;nct6791d;Voltage;7;3,456
1;1001817044;320;hdd;1;Temperature;0;29
1;1001817044;320;nvidiagpu;0;Temperature;0;55
1;1001817044;320;intelcpu;0;Power;0;13,19708
1;1001817044;320;intelcpu;0;Temperature;3;44
1;1001817044;320;lpc;nct6791d;Control;5;100
1;1001817044;320;nvidiagpu;0;Clock;2;3113
1;1001817044;320;intelcpu;0;Clock;0;99,94216
1;1001817044;320;intelcpu;0;Clock;3;3797,802
1;1001817044;320;intelcpu;0;Load;3;1,5625
1;1001817044;320;nvidiagpu;0;Control;0;30
1;1001817044;320;ram;N/A;Data;1;5,809231
1;1001817044;320;lpc;nct6791d;Fan;3;931
1;1001817044;320;lpc;nct6791d;Voltage;14;0,552
1;1001817044;320;lpc;nct6791d;Temperature;3;66
1;1001817044;320;intelcpu;0;Load;0;6,244081
1;1001817044;320;lpc;nct6791d;Voltage;12;0,568
1;1001817044;320;lpc;nct6791d;Voltage;13;0,064
1;1001817044;320;lpc;nct6791d;Temperature;1;38
1;1001817044;320;lpc;nct6791d;Voltage;2;3,376
1;1001817044;320;lpc;nct6791d;Voltage;11;1,008
1;1001817044;320;nvidiagpu;0;Load;0;30
1;1001817044;320;lpc;nct6791d;Voltage;0;0,8880001
1;1001817044;320;nvidiagpu;0;SmallData;1;2866,785
1;1001817044;320;lpc;nct6791d;Voltage;4;1,008
1;1001817044;320;hdd;0;Data;0;-114,0703
1;1001817044;320;intelcpu;0;Temperature;0;46
1;1001817044;320;lpc;nct6791d;Control;2;68,2353
1;1001817044;320;nvidiagpu;0;Fan;0;923
1;1001817044;320;intelcpu;0;Power;1;5,05052
1;1001817044;320;intelcpu;0;Temperature;4;48
1;1001817044;320;intelcpu;0;Load;4;5,445075
1;1001817044;320;hdd;1;Load;0;82,90602
1;1001817044;320;nvidiagpu;0;SmallData;3;3072
1;1001817044;320;lpc;nct6791d;Temperature;5;26
1;1001817044;320;lpc;nct6791d;Voltage;8;3,312
1;1001817044;320;lpc;nct6791d;Fan;2;827
1;1001817044;320;lpc;nct6791d;Voltage;6;0,048
1;1001817044;320;intelcpu;0;Clock;4;3797,802
1;1001817044;320;intelcpu;0;Temperature;2;46
1;1001817044;320;lpc;nct6791d;Control;4;68,2353
1;1001817044;320;nvidiagpu;0;Clock;1;4006,8
1;1001817044;320;intelcpu;0;Power;3;0,9361887
1;1001817044;320;intelcpu;0;Clock;2;3897,744
1;1001817044;320;intelcpu;0;Load;2;13,28125
1;1001817044;320;nvidiagpu;0;Load;2;0
1;1001817044;320;ram;N/A;Data;0;2,130394
1;1001817044;320;lpc;nct6791d;Temperature;0;39
1;1001817044;320;lpc;nct6791d;Control;1;39,60785
1;1001817044;320;lpc;nct6791d;Temperature;2;32
1;1001817044;320;lpc;nct6791d;Temperature;6;112
2;2002873543;356;lpc;nct6791d;Fan;0;819
2;2002873543;356;lpc;nct6791d;Voltage;9;1,008
2;2002873543;356;lpc;nct6791d;Voltage;1;1,016
2;2002873543;356;nvidiagpu;0;Load;3;6,545893
2;2002873543;356;lpc;nct6791d;Voltage;5;2,008
2;2002873543;356;hdd;0;Load;0;67,11856
2;2002873543;356;intelcpu;0;Temperature;1;51
2;2002873543;356;lpc;nct6791d;Control;3;72,94118
2;2002873543;356;nvidiagpu;0;Clock;0;1936
2;2002873543;356;intelcpu;0;Power;2;0
2;2002873543;356;intelcpu;0;Clock;1;3897,744
2;2002873543;356;intelcpu;0;Load;1;5,46875
2;2002873543;356;nvidiagpu;0;Load;1;1
2;2002873543;356;ram;N/A;Load;0;26,83814
2;2002873543;356;lpc;nct6791d;Fan;1;986
2;2002873543;356;nvidiagpu;0;SmallData;2;201,0898
2;2002873543;356;lpc;nct6791d;Voltage;3;3,376
2;2002873543;356;hdd;0;Temperature;0;28
2;2002873543;356;lpc;nct6791d;Control;0;72,94118
2;2002873543;356;lpc;nct6791d;Voltage;7;3,456
2;2002873543;356;hdd;1;Temperature;0;29
2;2002873543;356;nvidiagpu;0;Temperature;0;59
2;2002873543;356;intelcpu;0;Power;0;31,26384
2;2002873543;356;intelcpu;0;Temperature;3;46
2;2002873543;356;lpc;nct6791d;Control;5;100
2;2002873543;356;nvidiagpu;0;Clock;2;3872
2;2002873543;356;intelcpu;0;Clock;0;99,94215
2;2002873543;356;intelcpu;0;Clock;3;3797,802
2;2002873543;356;intelcpu;0;Load;3;2,34375
2;2002873543;356;nvidiagpu;0;Control;0;30
2;2002873543;356;ram;N/A;Data;1;5,808777
2;2002873543;356;lpc;nct6791d;Fan;3;964
2;2002873543;356;lpc;nct6791d;Voltage;14;0,016
2;2002873543;356;lpc;nct6791d;Temperature;3;66
2;2002873543;356;intelcpu;0;Load;0;14,64844
2;2002873543;356;lpc;nct6791d;Voltage;12;0,568
2;2002873543;356;lpc;nct6791d;Voltage;13;0,064
2;2002873543;356;lpc;nct6791d;Temperature;1;38
2;2002873543;356;lpc;nct6791d;Voltage;2;3,376
2;2002873543;356;lpc;nct6791d;Voltage;11;1,008
2;2002873543;356;nvidiagpu;0;Load;0;85
2;2002873543;356;lpc;nct6791d;Voltage;0;0,8800001
2;2002873543;356;nvidiagpu;0;SmallData;1;2870,91
2;2002873543;356;lpc;nct6791d;Voltage;4;1
2;2002873543;356;hdd;0;Data;0;-114,0703
2;2002873543;356;intelcpu;0;Temperature;0;48
2;2002873543;356;lpc;nct6791d;Control;2;72,94118
2;2002873543;356;nvidiagpu;0;Fan;0;921
2;2002873543;356;intelcpu;0;Power;1;20,30903
2;2002873543;356;intelcpu;0;Temperature;4;51
2;2002873543;356;intelcpu;0;Load;4;2,34375
2;2002873543;356;hdd;1;Load;0;82,90602
2;2002873543;356;nvidiagpu;0;SmallData;3;3072
2;2002873543;356;lpc;nct6791d;Temperature;5;26
2;2002873543;356;lpc;nct6791d;Voltage;8;3,312
2;2002873543;356;lpc;nct6791d;Fan;2;843
2;2002873543;356;lpc;nct6791d;Voltage;6;0,048
2;2002873543;356;intelcpu;0;Clock;4;3897,744
2;2002873543;356;intelcpu;0;Temperature;2;47
2;2002873543;356;lpc;nct6791d;Control;4;72,94118
2;2002873543;356;nvidiagpu;0;Clock;1;4006,8
2;2002873543;356;intelcpu;0;Power;3;1,222646
2;2002873543;356;intelcpu;0;Clock;2;3897,744
2;2002873543;356;intelcpu;0;Load;2;48,4375
2;2002873543;356;nvidiagpu;0;Load;2;0
2;2002873543;356;ram;N/A;Data;0;2,130848
2;2002873543;356;lpc;nct6791d;Temperature;0;43,5
2;2002873543;356;lpc;nct6791d;Control;1;42,7451
2;2002873543;356;lpc;nct6791d;Temperature;2;32
2;2002873543;356;lpc;nct6791d;Temperature;6;112
3;3002999419;344;lpc;nct6791d;Fan;0;845
3;3002999419;344;lpc;nct6791d;Voltage;9;1,008
3;3002999419;344;lpc;nct6791d;Voltage;1;1,016
3;3002999419;344;nvidiagpu;0;Load;3;6,545893
3;3002999419;344;lpc;nct6791d;Voltage;5;2,008
3;3002999419;344;hdd;0;Load;0;67,11856
3;3002999419;344;intelcpu;0;Temperature;1;50
3;3002999419;344;lpc;nct6791d;Control;3;73,72549
3;3002999419;344;nvidiagpu;0;Clock;0;1936
3;3002999419;344;intelcpu;0;Power;2;0
3;3002999419;344;intelcpu;0;Clock;1;3797,801
3;3002999419;344;intelcpu;0;Load;1;5,46875
3;3002999419;344;nvidiagpu;0;Load;1;1
3;3002999419;344;ram;N/A;Load;0;26,84002
3;3002999419;344;lpc;nct6791d;Fan;1;990
3;3002999419;344;nvidiagpu;0;SmallData;2;201,0898
3;3002999419;344;lpc;nct6791d;Voltage;3;3,376
3;3002999419;344;hdd;0;Temperature;0;28
3;3002999419;344;lpc;nct6791d;Control;0;73,72549
3;3002999419;344;lpc;nct6791d;Voltage;7;3,456
3;3002999419;344;hdd;1;Temperature;0;29
3;3002999419;344;nvidiagpu;0;Temperature;0;59
3;3002999419;344;intelcpu;0;Power;0;29,33462
3;3002999419;344;intelcpu;0;Temperature;3;46
3;3002999419;344;lpc;nct6791d;Control;5;100
3;3002999419;344;nvidiagpu;0;Clock;2;3872
3;3002999419;344;intelcpu;0;Clock;0;99,94214
3;3002999419;344;intelcpu;0;Clock;3;3697,859
3;3002999419;344;intelcpu;0;Load;3;1,5625
3;3002999419;344;nvidiagpu;0;Control;0;30
3;3002999419;344;ram;N/A;Data;1;5,808628
3;3002999419;344;lpc;nct6791d;Fan;3;965
3;3002999419;344;lpc;nct6791d;Voltage;14;8,800001E-02
3;3002999419;344;lpc;nct6791d;Temperature;3;66
3;3002999419;344;intelcpu;0;Load;0;14,45313
3;3002999419;344;lpc;nct6791d;Voltage;12;0,568
3;3002999419;344;lpc;nct6791d;Voltage;13;0,008
3;3002999419;344;lpc;nct6791d;Temperature;1;38
3;3002999419;344;lpc;nct6791d;Voltage;2;3,376
3;3002999419;344;lpc;nct6791d;Voltage;11;1,008
3;3002999419;344;nvidiagpu;0;Load;0;83
3;3002999419;344;lpc;nct6791d;Voltage;0;0,8800001
3;3002999419;344;nvidiagpu;0;SmallData;1;2870,91
3;3002999419;344;lpc;nct6791d;Voltage;4;1
3;3002999419;344;hdd;0;Data;0;-114,0703
3;3002999419;344;intelcpu;0;Temperature;0;50
3;3002999419;344;lpc;nct6791d;Control;2;73,72549
3;3002999419;344;nvidiagpu;0;Fan;0;918
3;3002999419;344;intelcpu;0;Power;1;18,92804
3;3002999419;344;intelcpu;0;Temperature;4;50
3;3002999419;344;intelcpu;0;Load;4;1,5625
3;3002999419;344;hdd;1;Load;0;82,90602
3;3002999419;344;nvidiagpu;0;SmallData;3;3072
3;3002999419;344;lpc;nct6791d;Temperature;5;26
3;3002999419;344;lpc;nct6791d;Voltage;8;3,312
3;3002999419;344;lpc;nct6791d;Fan;2;865
3;3002999419;344;lpc;nct6791d;Voltage;6;0,048
